"","GeneID","meanExpr","logFC","pval","adj.pval"
"8877","FUN_008877",4584.00052663065,"-8.96080507116782",3.58788245621139e-177,5.37931216659773e-173
"13025","FUN_013025",8513.2118057007,"1.786996365575",2.64071184252981e-47,1.97960963275247e-43
"1047","FUN_001047",19000.5081031773,"1.11556178400831",2.11442572568289e-36,9.20758837967808e-33
"2782","FUN_002782",4397.23487320926,"2.28278424928787",3.07062908679987e-36,9.20758837967808e-33
"7339","FUN_007339",2926.61811807128,"1.5173886898557",2.78903133293629e-36,9.20758837967808e-33
"15181","FUN_015181",995.815192158185,"-3.68495692728917",5.02911244817337e-36,1.25669138225772e-32
"190","FUN_000190",9500.290040195,"-5.53893189341482",7.10752525121084e-36,1.52233037273434e-32
"6770","FUN_006770",203.173894285367,"1.44521061047648",1.44303695648883e-35,2.70443163607963e-32
"3726","FUN_003726",370.032054293367,"2.7436985192989",1.69834902525942e-35,2.82926077063494e-32
"2096","FUN_002096",3536.35165813732,"1.83918591199339",3.03800032140374e-34,4.55487388188063e-31
"5765","FUN_005765",425.863993008157,"1.32264735919095",4.46587905040657e-34,6.08699314570415e-31
"12622","FUN_012622",9730.18128727117,"-5.86085405175061",7.61257458029093e-34,9.51127755685849e-31
"2784","FUN_002784",288.72246282203,"-3.37453844522457",1.67136092289753e-33,1.92759340900021e-30
"887","FUN_000887",477.801194290297,"-9.35652373266488",2.95477984145224e-33,3.16435815449238e-30
"14060","FUN_014060",823.842113862228,"-2.39272979506757",4.44255611131699e-32,4.44048291846504e-29
"5334","FUN_005334",544.975852140179,"-7.44835151532364",9.09888318657418e-32,8.52622222601916e-29
"9171","FUN_009171",4498.25202926618,"0.677950933854017",1.49833525589194e-31,1.3214435583287e-28
"5881","FUN_005881",1270.09484522054,"-2.20009929216226",1.90616595442158e-31,1.5877303419246e-28
"6584","FUN_006584",413.355197497696,"-3.28982145405129",4.41319645613009e-30,3.48247655088202e-27
"2437","FUN_002437",828.633892904653,"1.96216322108771",5.67420963536923e-30,4.25367125315454e-27
"344","FUN_000344",431.535939981871,"1.94632952017744",1.54873113355589e-29,1.10572028025731e-26
"12645","FUN_012645",1214.87977597121,"2.28414359416537",1.89437323462865e-29,1.29101535939942e-26
"11641","FUN_011641",3120.24551017941,"0.953422823231546",2.31453719617979e-29,1.5087763557532e-26
"2553","FUN_002553",692.294574213574,"3.4000497877853",5.41324663109843e-29,3.38170028083578e-26
"14661","FUN_014661",1885.99537071628,"0.893332422509101",1.9052441555063e-28,1.14261302494024e-25
"38","FUN_000038",1293.60567267438,"1.27039349725774",2.64794723388696e-28,1.52694895683335e-25
"2259","FUN_002259",408.56026778405,"2.38029133580611",3.58008841042934e-28,1.98800983472471e-25
"1926","FUN_001926",1611.84793540529,"-1.01871837010768",9.11303497144643e-28,4.87970476167487e-25
"9386","FUN_009386",52425.8358604511,"1.76992751406874",2.60490827180367e-27,1.3467375765225e-24
"5595","FUN_005595",1613.46008000282,"1.31960949584795",4.11400413721262e-27,2.05604213430763e-24
"12575","FUN_012575",1629.06778173354,"-5.01391159173428",4.60990127040407e-27,2.22955644345704e-24
"1857","FUN_001857",4804.7414826119,"1.41382440826436",6.94460825685454e-27,3.25376598734438e-24
"10292","FUN_010292",267.370183025871,"3.96888739639087",8.41397827871811e-27,3.82275079796426e-24
"10397","FUN_010397",6097.26147329147,"0.571949555822201",9.56577014179716e-27,4.21822328635191e-24
"5514","FUN_005514",437.401701545362,"-6.78196180428587",1.40944738189127e-26,6.03766988477022e-24
"12169","FUN_012169",733.210180118916,"1.74596750159204",5.16408329808126e-26,2.15069724689256e-23
"3017","FUN_003017",2198.54922916297,"-2.46834564576045",7.17260321095036e-26,2.90645513356159e-23
"4521","FUN_004521",4410.11081437072,"1.01564728170575",8.00522920302993e-26,3.1584842484481e-23
"10077","FUN_010077",938.746505550745,"-1.13570273389037",8.72066094327585e-26,3.35253511596243e-23
"10835","FUN_010835",304.442133501071,"-1.87745930869135",1.40079812516621e-25,5.25054157265423e-23
"3016","FUN_003016",3890.97570864716,"-2.74997132349805",2.68661554900786e-25,9.82449437226217e-23
"1563","FUN_001563",2114.26053435646,"1.64051288810888",3.2041690506362e-25,1.14381206133782e-22
"9056","FUN_009056",88.7073735785976,"4.22257462816848",3.59692468953159e-25,1.25415562488714e-22
"11892","FUN_011892",758.985216552314,"1.72270340036783",4.78537889362122e-25,1.63061785800143e-22
"10950","FUN_010950",4677.29554480756,"2.07914528645174",7.01894986111723e-25,2.33855811706068e-22
"6034","FUN_006034",4514.36026031709,"-1.47173628162822",8.73486203516509e-25,2.78759573899308e-22
"8302","FUN_008302",2375.76840332983,"1.53864888944487",8.73854463634194e-25,2.78759573899308e-22
"9349","FUN_009349",3736.1393087717,"2.0447456815976",1.89323941651171e-24,5.91361220245001e-22
"13170","FUN_013170",201.505877146754,"2.98740014172176",2.38584750438213e-24,7.30020645575536e-22
"3895","FUN_003895",228.257642801456,"-1.91228544925546",2.78208006872652e-24,8.34234529408334e-22
"6187","FUN_006187",7920.48334353937,"-4.42839580165505",4.61984682288023e-24,1.33202621952776e-21
"10594","FUN_010594",2061.39611069619,"1.84315323881349",4.54372655450482e-24,1.33202621952776e-21
"4788","FUN_004788",213.116346081606,"2.75753450133908",6.07798839216821e-24,1.68867706052204e-21
"6209","FUN_006209",231.121659865017,"-6.75198167910902",6.08207571988196e-24,1.68867706052204e-21
"12629","FUN_012629",317.718624593036,"4.72476146909522",6.27086858224034e-24,1.70943877551872e-21
"5315","FUN_005315",197.504709785005,"2.54906806859666",1.21278018671754e-23,3.24700238204574e-21
"9385","FUN_009385",2120.47685628235,"1.31823880359438",1.5510948427585e-23,4.07992368025934e-21
"2551","FUN_002551",694.822517465577,"3.38201477892948",1.6409747485128e-23,4.24191972490558e-21
"13013","FUN_013013",991.596153204448,"2.24669547656694",2.85125358621778e-23,7.24556695223104e-21
"2347","FUN_002347",414.877203794641,"1.31269070980094",3.75202052381428e-23,9.37567395225792e-21
"6745","FUN_006745",218.480289697021,"2.37589791302435",3.90800288221576e-23,9.60535855951817e-21
"2954","FUN_002954",886.213782580243,"0.940373425783852",5.1073098108134e-23,1.23506283860525e-20
"7232","FUN_007232",4405.07092118658,"2.56493978403011",5.54864517833347e-23,1.32048947871038e-20
"4789","FUN_004789",209.624930173008,"2.77361851143018",1.05084431124457e-22,2.46176699351403e-20
"1618","FUN_001618",1946.07722177143,"3.6800922434734",1.90173057032867e-22,4.38656099091351e-20
"14977","FUN_014977",145.290016842113,"3.63343841903156",2.05005827621886e-22,4.65704905081051e-20
"7611","FUN_007611",919.579404079096,"1.45067996429791",2.22638736448467e-22,4.9821232471222e-20
"1495","FUN_001495",500.350115808861,"0.994768643672555",2.76008802371253e-22,6.08558819698853e-20
"2059","FUN_002059",438.541938462185,"-3.36192575384856",4.0742122918842e-22,8.85284998437969e-20
"5924","FUN_005924",576.709074049495,"4.02875705265516",4.47551247083877e-22,9.58590835361225e-20
"405","FUN_000405",1489.79573191381,"0.911178638026531",5.09340354530837e-22,1.0755690049973e-19
"128","FUN_000128",2170.60458388788,"0.697241331845337",7.70241055823151e-22,1.60392002082729e-19
"8006","FUN_008006",368.671108853468,"-1.70503177221643",7.90364968416853e-22,1.62327972211971e-19
"8871","FUN_008871",1490.87845079316,"3.40066220124488",8.90765617080815e-22,1.80476336444495e-19
"14664","FUN_014664",1312.80905355481,"-1.95914810957291",9.81746721446291e-22,1.96257714595256e-19
"2535","FUN_002535",10895.7860511534,"0.576630142022",1.05553886023475e-21,2.02893514506405e-19
"12631","FUN_012631",830.254516376309,"4.2748319645686",1.04521015053013e-21,2.02893514506405e-19
"15615","FUN_015615",432.825585310524,"-1.30153295884576",1.05367164341681e-21,2.02893514506405e-19
"12157","FUN_012157",1060.87677612337,"-3.97442236450931",1.15195476489126e-21,2.18623516329299e-19
"8868","FUN_008868",2841.82270140345,"-3.15341505875507",1.73780476748881e-21,3.25686335986997e-19
"3553","FUN_003553",785.080670346729,"3.282584052555",2.26696452678758e-21,4.19612335186743e-19
"12014","FUN_012014",316.253380499904,"-2.5505709684054",2.73870512188282e-21,5.00748852346209e-19
"13169","FUN_013169",9684.06620055323,"1.58419388053425",3.68209294989814e-21,6.6512794696172e-19
"4040","FUN_004040",233.739236930839,"-1.56619871172",4.0138973860555e-21,7.15200156415166e-19
"6769","FUN_006769",16345.6581176549,"1.59447606220081",4.05469307645495e-21,7.15200156415166e-19
"16443","FUN_016443",435.12457043786,"2.63938682285643",6.31063783407338e-21,1.10017898891003e-18
"2485","FUN_002485",1256.68679616552,"-8.33535195423529",6.82897651146799e-21,1.17686028547632e-18
"6173","FUN_006173",366.666410364652,"4.38670144701588",8.17828762067395e-21,1.39337575337232e-18
"674","FUN_000674",809.77368147095,"3.00883384759273",2.18745024548891e-20,3.68499343040621e-18
"1295","FUN_001295",343.633089947214,"3.02743287317246",2.35332894315158e-20,3.92038453829684e-18
"4781","FUN_004781",352.637588964778,"3.99469783567168",2.57557366887337e-20,4.243469892024e-18
"7928","FUN_007928",216.596015651917,"1.72101922049347",2.95181164861966e-20,4.81049043997331e-18
"822","FUN_000822",807.758864267829,"-3.48919853981902",4.20080631721948e-20,6.77233216280341e-18
"6418","FUN_006418",177.265587238165,"1.4143911151874",5.03327315293397e-20,8.02807067892969e-18
"1270","FUN_001270",2159.58238226266,"1.03579413891228",5.10555311864671e-20,8.05763767451264e-18
"13855","FUN_013855",6873.37403071793,"1.55380612385264",6.36567529859455e-20,9.94172601581543e-18
"10759","FUN_010759",278.43473545088,"-3.31311198957925",1.07808133676046e-19,1.66635809093295e-17
"12956","FUN_012956",187.254903795328,"2.49009048709068",1.28855502851366e-19,1.97135770841891e-17
"2868","FUN_002868",2924.10169920437,"2.79701597795358",1.56860598054752e-19,2.37556661276252e-17
"13139","FUN_013139",133.204924783518,"-10.1643379958939",2.04288320905123e-19,3.06289479533051e-17
"15137","FUN_015137",369.576826063193,"1.59565828856776",2.1098556962171e-19,3.13198677756267e-17
"14838","FUN_014838",734.140741643596,"2.57186255124455",3.60595798837692e-19,5.3004047176211e-17
"12071","FUN_012071",42169.8753876546,"-2.30339195461413",4.34053317094727e-19,6.31821493514684e-17
"2453","FUN_002453",672.153272317222,"3.59152676974815",5.22105836054771e-19,7.52685846150882e-17
"14390","FUN_014390",186.834389122054,"2.39970549501568",5.58731238481965e-19,7.97814996053343e-17
"4990","FUN_004990",214.573978943425,"-2.7817694593042",6.03594029773742e-19,8.5374389513186e-17
"12929","FUN_012929",3341.51260482602,"0.903535652937749",6.67281622162686e-19,9.35004987017304e-17
"540","FUN_000540",450.376555262939,"2.52067316247076",8.07681695984297e-19,1.12125663591598e-16
"10492","FUN_010492",106.00929914568,"-7.75075075411518",8.42999861006535e-19,1.15955017578633e-16
"5722","FUN_005722",738.72295908682,"-5.62358590381444",9.4850204530631e-19,1.2928082877525e-16
"8979","FUN_008979",1502.64097178639,"-1.05276104164075",1.05307595492122e-18,1.42241151280485e-16
"6361","FUN_006361",506.447519437388,"0.956471940163184",1.12597933361248e-18,1.50730429900464e-16
"3528","FUN_003528",156959.936835113,"0.745088650777097",1.2586851406948e-18,1.67004126676435e-16
"7691","FUN_007691",4043.58550260013,"2.1218672846629",1.3225830492018e-18,1.73942874181426e-16
"15188","FUN_015188",674.641836654574,"-0.893992824863915",1.37325412935979e-18,1.7903651444775e-16
"7266","FUN_007266",4255.87305826173,"-3.70223472353518",1.50105067882404e-18,1.94010800238007e-16
"13042","FUN_013042",833.820483521494,"1.97491491534565",1.64473379278453e-18,2.10764903890756e-16
"14715","FUN_014715",2652.23772342121,"4.06401878944739",2.09052653464984e-18,2.65620884186484e-16
"3883","FUN_003883",2756.3016602665,"0.821615506494392",2.37259404924724e-18,2.96435854836366e-16
"8000","FUN_008000",1166.96351377087,"1.03496495315682",2.35824172135049e-18,2.96435854836366e-16
"15087","FUN_015087",374.9980042909,"-0.989586504557721",2.43847975460727e-18,3.0214980959361e-16
"8692","FUN_008692",617.869905133677,"0.631091991156813",2.84172775232929e-18,3.49229706480927e-16
"7919","FUN_007919",288.504534221414,"2.0696046308299",2.9624419399724e-18,3.61104813056961e-16
"473","FUN_000473",302.296162732573,"1.53104960667843",3.11673271823927e-18,3.71710574005851e-16
"1759","FUN_001759",1767.03086764399,"-2.70881244348392",3.12382660739927e-18,3.71710574005851e-16
"4813","FUN_004813",4474.54919524953,"0.416280781713942",3.08843521407661e-18,3.71710574005851e-16
"2209","FUN_002209",326.85557471127,"-2.07720340329026",3.27271644248147e-18,3.86360926158462e-16
"8547","FUN_008547",150.221538337244,"-1.63990740714852",3.48311647845348e-18,4.07987229386351e-16
"10952","FUN_010952",6196.07115053625,"5.06599833908396",3.74500943019561e-18,4.35262995247463e-16
"8022","FUN_008022",76.003198546887,"2.91759025847828",3.99154510753237e-18,4.60347967671022e-16
"4167","FUN_004167",1055.64570165207,"1.89626396046268",5.17906853566022e-18,5.92746370650028e-16
"10175","FUN_010175",3160.56045173888,"0.97374643535262",6.37290168630258e-18,7.21268352032414e-16
"10288","FUN_010288",628.548635560347,"4.41348584430988",6.39823189623898e-18,7.21268352032414e-16
"9656","FUN_009656",1144.44204942981,"-2.41442564605205",1.09549458829403e-17,1.22572763897704e-15
"4647","FUN_004647",994.497219064092,"0.66567395706778",1.17160800516373e-17,1.30117917195702e-15
"9348","FUN_009348",1101.07596973926,"1.91496817374751",1.19076131491026e-17,1.31272679370953e-15
"3300","FUN_003300",796.950970660678,"-3.91435782484234",1.49384775784623e-17,1.63483645499187e-15
"10349","FUN_010349",1812.02377365335,"-1.64509510114611",1.5783866465102e-17,1.71483702834257e-15
"11854","FUN_011854",132.661902977017,"-6.95198630338015",1.72677015795356e-17,1.86255143728041e-15
"7375","FUN_007375",2782.5107763406,"3.76790462659426",1.74958899187209e-17,1.87368483965273e-15
"1298","FUN_001298",2454.92180279737,"3.60085535110664",1.76925829833584e-17,1.88131132389711e-15
"11879","FUN_011879",592.911209054321,"2.68587055096697",2.04160860652892e-17,2.14453844292086e-15
"15995","FUN_015995",106.563197324388,"2.02472126234897",2.0454145090221e-17,2.14453844292086e-15
"1367","FUN_001367",4872.6802311378,"0.299567905443947",2.14005156227692e-17,2.22818007452902e-15
"3328","FUN_003328",82.7628706537568,"-2.3767175716546",2.16439683072938e-17,2.23798632297418e-15
"4631","FUN_004631",892.988888007976,"2.21856461330877",2.34540949941342e-17,2.40854278251406e-15
"8447","FUN_008447",4507.91925766253,"-0.930385934188501",2.89396563878359e-17,2.95164808314846e-15
"7533","FUN_007533",17826.6062094343,"0.475938021047371",3.0891312612185e-17,3.12941520266547e-15
"14051","FUN_014051",1796.48527673034,"1.69143572905673",3.61771826203427e-17,3.64029865118656e-15
"13055","FUN_013055",1436.63746548406,"-0.609193745899062",3.80989670903432e-17,3.80811875723677e-15
"5058","FUN_005058",7557.44218751683,"0.977120199857933",3.98923011088383e-17,3.96096205645571e-15
"3255","FUN_003255",211.647118785753,"1.31563390634811",4.09221797029253e-17,4.03648842293394e-15
"925","FUN_000925",307.035827961169,"1.60415689491189",4.62140664199189e-17,4.499319462759e-15
"14173","FUN_014173",2081.66138484214,"0.983253718183413",4.62145799549714e-17,4.499319462759e-15
"1304","FUN_001304",258.207744296857,"1.16626020847326",5.94332480000397e-17,5.74892056299739e-15
"11167","FUN_011167",341.896640995791,"-1.6982323486378",7.66260020991812e-17,7.36444647098093e-15
"9542","FUN_009542",1058.8046664319,"1.03552626020966",7.85467491205037e-17,7.50096439212555e-15
"12035","FUN_012035",201.460526852792,"4.75001456697318",7.94244812560535e-17,7.53678004729121e-15
"6661","FUN_006661",218.623349142523,"1.47046535849227",8.44740368947209e-17,7.96552978089654e-15
"7878","FUN_007878",998.706898417375,"-2.87393265564534",8.98451076468216e-17,8.41904811842998e-15
