"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-11.3676583467419,2.93897276134079,6.30489234123945e-06,0.000149426833347169
"FUN_013139",-11.1263182167663,2.70456553927295,1.63940186655082e-26,4.53895730119037e-23
"FUN_008732",-9.81014432104154,1.42571579282899,2.60946896566912e-10,2.35589665530953e-08
"FUN_002487",-9.75664811703231,1.38277057082217,2.58606220999626e-14,7.15994423874297e-12
"FUN_012054",-9.31244876021262,7.26355248969737,1.23362863057216e-16,6.12342706236909e-14
"FUN_014624",-9.29766784171949,0.947310319641389,2.71146522324146e-20,2.64958001696983e-17
"FUN_013141",-9.29048869835242,0.942926860764551,9.79674709288417e-07,2.8804170390618e-05
"FUN_000887",-9.25468235478318,4.52872650461508,1.03539061937816e-44,8.59995448455501e-41
"FUN_002467",-9.14221483879911,7.02952086847337,6.44105536602772e-18,3.96291895335009e-15
"FUN_008877",-8.97671455977825,7.78003360001164,4.27619844184696e-54,7.10362085159617e-50
"FUN_016508",-8.8351754998786,0.511139470214525,3.49976546610877e-09,2.3537693895951e-07
"FUN_002484",-8.54092262957812,0.261920333108085,3.67654787563838e-08,1.79886967873505e-06
"FUN_015587",-8.45910976008192,0.182931920095273,6.53641673510681e-09,4.08206597005994e-07
"FUN_002466",-8.38713929463794,7.62403482433892,9.21255638738976e-12,1.20503139139621e-09
"FUN_002485",-8.30370025118291,5.91313835938066,6.06514038429644e-28,2.01508224127865e-24
"FUN_015317",-8.24224929959195,-0.0118043310030644,1.47497423099212e-05,0.000302124191433305
"FUN_002470",-8.22708103773139,6.82006018944547,2.21625084943153e-11,2.57457056718577e-09
"FUN_007424",-8.03382626735978,-0.193219961821658,0.000609238521967074,0.0073551383189804
"FUN_002492",-7.77911340791964,-0.422119681884926,6.47833792003488e-07,2.04597242447946e-05
"FUN_012053",-7.69583253765804,7.25152215578968,5.58770370954426e-15,1.68768970950817e-12
"FUN_010492",-7.60092704537398,2.38534057029483,3.28122932643517e-29,1.36269453926853e-25
"FUN_002486",-7.53362588012571,6.00074988344191,1.81039482775099e-15,6.13760793440804e-13
"FUN_014726",-7.45156520655373,-0.692009864467197,9.05836735084877e-14,2.11940279482112e-11
"FUN_005334",-7.44710236084078,4.72459194797126,4.96880448945001e-31,2.75139267262479e-27
"FUN_000430",-7.44384690986735,-0.689326896730499,2.67004504978574e-07,9.49781335482672e-06
"FUN_003057",-7.29571056038359,-0.83090134638163,4.04897836407434e-08,1.95527990069776e-06
"FUN_008733",-7.21677121478689,-0.899094269739621,2.38370743070532e-07,8.62704745945028e-06
"FUN_014705",-7.21549447590315,-0.859041937867264,0.000117938550080637,0.00177142422598512
"FUN_011765",-7.14924227192682,-0.945068577365508,3.89044623668775e-08,1.88716206942188e-06
"FUN_007250",-6.95373422704791,-1.10814361931781,0.00280903123337723,0.0266649296279215
"FUN_015180",-6.909785142838,-1.12930886201351,2.60658693528291e-10,2.35589665530953e-08
"FUN_011854",-6.87327890567202,2.70389000818425,5.17687142391617e-25,9.55535423267727e-22
"FUN_005514",-6.76749925118849,4.41139042868947,3.58103945356885e-26,8.49831820038368e-23
"FUN_006209",-6.70653930598702,3.48420349456645,2.6121338725686e-25,5.4240959863887e-22
"FUN_002154",-6.68366875797393,-1.28786549892368,0.000299085702424015,0.00399069211941183
"FUN_011506",-6.65586557423618,-1.30040055168466,7.39963023075446e-06,0.000170953775637967
"FUN_015692",-6.51750116623565,-1.42447203236492,1.66768532671899e-05,0.000333376518019925
"FUN_002966",-6.47758956108941,-1.46562732955755,6.71834369883074e-06,0.000157190317640812
"FUN_009107",-6.44295086956111,-1.46736358828097,0.00495383409256032,0.0422306885527947
"FUN_012623",-6.4246531654992,4.56489283519069,5.48424272736007e-10,4.54115310067217e-08
"FUN_007107",-6.41194923427431,-1.50599068141436,3.33705844811333e-05,0.000605187936026841
"FUN_009861",-6.41141563981645,-1.49246873434833,0.000481736393881542,0.00604426357640496
"FUN_005452",-6.40748606743581,-1.48076881842633,0.00504991445982619,0.0428006015339963
"FUN_004067",-6.37796410507124,-1.53735180114998,5.56543959797777e-05,0.000930111494985983
"FUN_006455",-6.35749283975998,-1.56937018829821,0.000536064200945601,0.00658174316785538
"FUN_008384",-6.33074584650456,-1.56120146848925,2.56844250884898e-07,9.23435570788901e-06
"FUN_009657",-6.2971469186451,-1.59627672659803,7.23529232231432e-07,2.2465920758558e-05
"FUN_000651",-6.27041053663088,-1.59989319953467,0.000608113578751339,0.00734689656015799
"FUN_004071",-6.22556580988353,-1.64462872778043,5.21812808666967e-05,0.000889061987443658
"FUN_011325",-6.17259675304647,-1.6601105169605,1.82034270734627e-05,0.000359566385902929
"FUN_006426",-6.16443283719728,-1.66875240202286,0.000149112085686919,0.00218242287879392
"FUN_011837",-6.14410865757992,-1.703303949979,0.000781083647460768,0.00917635187526045
"FUN_008456",-6.11311272791658,-1.71651968548522,0.00110703045208685,0.0123339972300918
"FUN_004069",-6.01201646967857,5.62751529942374,1.53997134283912e-05,0.00031348482708814
"FUN_003235",-5.93721369764336,3.25642264854867,1.06154024038871e-08,6.23120370082589e-07
"FUN_012622",-5.89560129091995,8.86715859676543,4.59845860665303e-21,5.87612264413232e-18
"FUN_013602",-5.83639540888541,-1.89368592056155,3.68452839851112e-06,9.41535391418423e-05
"FUN_004474",-5.81059591968542,1.63481993520403,0.000109329415527139,0.00166316872778098
"FUN_014788",-5.80941459266505,5.18908499048903,2.02495108754711e-05,0.000395281873869949
"FUN_002465",-5.80157353792356,5.3289085264632,1.17937594793305e-08,6.80270598856385e-07
"FUN_010252",-5.72352708677572,-1.96233488127853,0.00134822693088564,0.014543341412904
"FUN_015994",-5.71780266467084,-1.97849753664661,8.26381112939325e-06,0.000185261039786074
