gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_000001,46,69,49,47,79,76,59,52,64,90
FUN_000002,34,43,50,40,14,19,34,5,0,6
FUN_000003,0,7,0,0,5,4,0,3,0,0
FUN_000004,250,284,299,361,322,261,324,231,237,374
FUN_000005,1036,1425,1017,1209,2053,1950,2023,2160,2042,2645
FUN_000006,170,238,192,213,411,329,302,418,374,483
FUN_000007,2082,2989,1824,2164,2395,1729,2716,2085,2339,2981
FUN_000008,103,331,221,226,177,153,110,220,227,225
FUN_000009,11,15,20,12,25,30,12,23,20,30
FUN_000010,0,0,0,0,0,0,0,0,0,0
FUN_000011,694,895,369,656,1098,983,864,1206,970,1324
FUN_000012,704,835,812,900,1832,1442,1060,1770,1390,2012
FUN_000013,212,230,181,85,328,247,154,219,331,309
FUN_000014,38,43,25,30,50,42,46,39,37,51
FUN_000015,50,66,93,85,57,60,78,67,93,83
FUN_000016,91,150,151,173,260,132,118,152,138,239
FUN_000017,0,15,0,10,15,8,6,6,9,14
FUN_000018,37,63,23,25,87,85,31,57,90,90
FUN_000019,206,207,221,201,257,247,188,299,225,323
FUN_000020,214,268,218,169,337,259,212,292,234,385
FUN_000021,39,67,69,72,76,90,70,109,93,111
FUN_000022,2499,5323,3350,3528,4145,3300,3037,3537,4460,4703
FUN_000023,31,74,70,43,42,41,36,30,38,72
FUN_000024,13,11,0,0,7,4,0,6,7,12
FUN_000025,306,386,509,391,680,510,361,600,535,695
FUN_000026,173,241,193,200,376,333,251,415,315,461
FUN_000027,0,0,0,0,0,0,0,0,0,0
FUN_000028,9,0,12,18,20,15,30,29,25,33
FUN_000029,0,0,0,0,0,0,0,0,12,0
FUN_000030,142,215,169,172,312,288,184,302,264,391
FUN_000031,202,226,186,210,380,336,276,366,267,426
FUN_000032,149,240,260,253,612,510,337,596,594,591
FUN_000033,58,94,77,73,116,123,89,105,87,136
FUN_000034,3181,4006,1905,2537,3485,2723,3434,3831,3239,4633
FUN_000035,86,152,71,119,278,288,158,290,234,409
FUN_000036,679,1235,1076,1067,1785,1475,1160,1675,1583,2151
FUN_000037,413,509,533,502,622,497,505,659,535,677
FUN_000038,1146,1853,1806,1408,1122,864,1428,1007,898,1274
FUN_000039,1197,1954,1269,1303,3080,2458,1536,3103,2340,3924
FUN_000040,372,465,138,312,740,634,455,817,574,938
FUN_000041,395,627,423,303,647,608,464,787,663,1033
FUN_000042,10,25,0,4,89,14,6,17,15,31
FUN_000043,0,0,0,0,20,0,0,0,0,0
FUN_000044,16,25,0,48,48,48,28,61,36,63
FUN_000045,0,0,0,0,0,0,0,0,0,0
FUN_000046,322,565,476,397,931,923,534,846,994,1248
FUN_000047,2158,2929,2404,2487,4176,3293,2896,3688,3247,4572
FUN_000048,1,7,10,8,11,12,11,20,22,32
FUN_000049,0,0,0,0,0,0,13,0,0,0
FUN_000050,121,149,136,117,222,148,156,221,114,259
FUN_000051,453,669,656,722,1430,1177,870,1333,1201,1417
FUN_000052,1,0,1,1,3,0,3,7,0,6
FUN_000053,9,0,0,0,8,20,7,0,3,12
FUN_000054,5,6,0,0,8,17,2,7,9,15
FUN_000055,0,11,0,0,9,4,4,0,11,20
FUN_000056,16,28,13,0,32,25,19,16,22,47
FUN_000057,0,0,0,0,0,0,0,0,0,1
FUN_000058,179,244,142,462,184,173,288,43,53,219
FUN_000059,771,968,518,629,1365,1137,1039,1374,1188,1559
FUN_000060,274,318,207,103,349,374,271,370,239,318
FUN_000061,487,725,437,327,843,804,611,824,765,913
FUN_000062,4699,5036,3360,3467,5751,4682,7860,5847,6207,7362
FUN_000063,49,156,105,93,158,92,108,152,116,108
FUN_000064,21,30,56,37,45,22,24,34,23,48
FUN_000065,0,0,17,22,43,22,14,31,19,35
FUN_000066,258,315,103,206,623,424,271,658,530,673
FUN_000067,183,252,272,235,348,298,221,349,239,457
FUN_000068,1721,2606,3112,2825,4118,3462,2410,3826,2931,4268
FUN_000069,246,400,346,400,683,576,494,623,549,821
FUN_000070,317,434,175,327,624,565,510,617,552,858
FUN_000071,46,100,50,34,96,83,33,53,66,165
FUN_000072,52,33,47,38,101,64,43,71,80,76
FUN_000073,830,1551,1771,1716,2294,1965,1351,1969,1647,2212
FUN_000074,19,27,12,229,13,59,25,0,7,26
FUN_000075,312,463,231,321,684,572,451,615,689,885
FUN_000076,280,401,628,461,534,446,399,589,482,649
FUN_000077,24,42,19,46,59,23,38,54,39,49
FUN_000078,298,262,150,337,317,220,279,191,166,303
FUN_000079,208,287,264,246,496,362,290,505,434,573
FUN_000080,0,3,6,0,17,3,7,10,7,18
FUN_000081,25,39,80,60,95,126,51,106,102,105
FUN_000082,177,240,122,88,715,371,199,551,432,553
FUN_000083,554,595,272,243,1951,977,751,1567,1193,1590
FUN_000084,2271,3080,2477,2731,7802,5826,3127,13040,5016,9171
FUN_000085,277,407,410,277,472,354,355,450,397,572
FUN_000086,193,240,173,199,505,360,263,486,408,610
FUN_000087,356,493,399,473,596,468,429,620,530,646
FUN_000088,42,62,78,59,82,62,84,64,91,99
FUN_000089,50,145,82,61,107,93,81,90,76,110
FUN_000090,143,182,148,183,533,513,351,554,494,695
FUN_000091,2521,5430,5255,3614,5580,4015,4344,5657,3593,4516
FUN_000092,142,193,200,196,326,197,193,236,236,386
FUN_000093,99,125,155,112,209,181,110,256,163,221
FUN_000094,266,337,196,280,528,391,344,395,403,564
FUN_000095,380,512,217,363,944,459,413,659,511,738
FUN_000096,14,34,29,27,25,26,59,22,36,55
FUN_000097,36,63,38,30,110,128,27,150,123,122
FUN_000098,67,56,70,82,250,202,144,239,191,305
FUN_000099,0,0,0,0,0,0,0,0,0,0
FUN_000100,0,0,0,0,0,0,0,0,0,0
FUN_000101,0,0,0,0,0,0,0,0,0,0
FUN_000102,173,223,249,207,242,226,162,255,190,255
FUN_000103,846,1265,1293,1094,1467,1272,1087,1284,1099,1438
FUN_000104,1115,1599,1720,1512,2584,2006,1666,2601,1969,2708
FUN_000105,0,6,0,0,20,0,0,0,0,0
FUN_000106,262,532,364,259,531,210,200,307,357,433
FUN_000107,821,1355,1355,1023,1436,1399,940,1499,1169,1500
FUN_000108,35,68,46,47,96,83,46,104,63,105
FUN_000109,137,169,143,144,321,195,167,316,228,374
FUN_000110,96,101,37,67,233,148,137,243,146,227
FUN_000111,428,590,629,574,906,834,579,852,703,1064
FUN_000112,155,229,164,170,326,270,219,206,236,450
FUN_000113,565,1416,835,646,1028,781,879,731,622,1201
FUN_000114,959,1224,1179,1147,2318,1816,1427,2054,1766,2565
FUN_000115,1136,1149,746,811,2372,1254,1132,2150,1718,2270
FUN_000116,249,277,335,271,452,347,355,391,369,511
FUN_000117,3897,6513,7371,5567,6383,4799,5050,6611,4670,5942
FUN_000118,239,412,364,343,813,596,415,743,560,871
FUN_000119,1094,1464,482,855,2171,1766,1455,2129,2017,2892
FUN_000120,981,1215,869,881,2757,2092,1958,2857,2371,3156
FUN_000121,74,83,108,82,229,145,121,231,210,245
FUN_000122,901,1228,1195,1137,1661,1372,1342,1491,1319,1775
FUN_000123,161,207,169,182,322,264,198,280,232,285
FUN_000124,1533,2383,2720,2577,3589,3059,2276,3469,2766,3867
FUN_000125,470,776,561,707,839,775,657,849,736,1020
FUN_000126,211,288,192,199,166,133,214,90,94,191
FUN_000127,251,380,377,316,472,376,361,420,335,520
FUN_000128,1681,2271,1793,1820,2276,1803,2416,1892,1521,2475
FUN_000129,88,109,84,61,202,172,88,218,223,211
FUN_000130,0,0,0,0,0,0,0,0,0,0
FUN_000131,0,0,0,0,0,0,0,0,0,0
FUN_000132,172,197,200,216,249,222,203,269,226,257
FUN_000133,180,326,189,120,746,519,196,1267,757,912
FUN_000134,441,593,433,348,1382,1146,557,2225,1383,1831
FUN_000135,75,146,153,134,160,99,89,115,107,155
FUN_000136,1261,1674,1548,1535,1722,1160,1461,1530,1137,1508
FUN_000137,611,954,778,794,1502,1203,816,1522,1341,1552
FUN_000138,0,0,0,0,0,0,0,0,0,0
FUN_000139,0,0,0,0,0,0,0,0,0,0
FUN_000140,24,33,0,20,42,45,47,96,50,88
FUN_000141,1,5,2,0,2,5,5,2,1,4
FUN_000142,0,0,0,0,0,0,0,0,0,0
FUN_000143,0,0,0,0,0,0,0,0,0,0
FUN_000144,1315,2095,2330,2241,3144,2500,1893,3218,2606,3450
FUN_000145,752,1057,1136,1122,1921,1515,964,1708,1436,1895
FUN_000146,1607,1929,1793,2444,2836,2433,2548,3275,2454,3313
FUN_000147,31,48,45,31,135,102,39,69,54,116
FUN_000148,570,1417,860,881,483,490,541,445,1113,849
FUN_000149,135,160,184,108,228,196,156,212,174,250
FUN_000150,665,1056,775,897,1076,1292,1097,1186,1146,1371
FUN_000151,592,657,473,699,1647,1301,840,1408,1296,1878
FUN_000152,435,621,501,524,1092,1026,615,782,688,1514
FUN_000153,822,1255,844,1168,1711,1333,1043,1290,1060,1682
FUN_000154,0,7,0,4,12,3,0,5,5,5
FUN_000155,13,17,15,13,21,23,16,40,25,58
FUN_000156,417,682,683,628,1360,978,686,1230,1015,1324
FUN_000157,14,21,11,0,12,8,12,6,11,19
FUN_000158,177,315,230,245,288,238,310,252,326,336
FUN_000159,58,148,72,106,126,129,168,122,163,232
FUN_000160,289,498,320,351,669,532,378,413,422,683
FUN_000161,374,574,293,343,655,527,422,582,610,743
FUN_000162,268,355,321,334,507,494,389,604,453,626
FUN_000163,213,312,302,266,401,307,235,324,239,407
FUN_000164,108,121,127,112,246,190,142,212,184,280
FUN_000165,152,182,242,205,286,207,237,212,264,281
FUN_000166,761,924,1156,1138,2216,1612,1075,2246,1585,2303
FUN_000167,2159,2659,1289,1882,3526,2256,2832,3240,2671,3759
FUN_000168,790,804,1187,972,1739,1352,879,1669,1386,1796
FUN_000169,165,190,122,230,341,303,161,283,250,385
FUN_000170,148,169,235,213,381,297,184,366,293,464
FUN_000171,479,639,638,606,948,629,504,794,536,779
FUN_000172,479,591,384,434,1016,658,565,918,749,933
FUN_000173,11,17,9,19,41,25,18,32,30,50
FUN_000174,0,0,0,0,0,0,0,0,0,0
FUN_000175,241,353,413,352,376,138,340,243,282,252
FUN_000176,279,351,421,291,684,576,324,717,473,642
FUN_000177,216,304,369,375,651,468,315,577,457,654
FUN_000178,168,231,293,184,341,264,233,282,273,387
FUN_000179,1661,2793,2198,2935,4137,3947,2987,3967,3286,4727
FUN_000180,120,109,143,134,175,192,143,177,131,241
FUN_000181,1334,1710,1401,1575,2768,2220,1920,2777,2327,2847
FUN_000182,0,0,5,0,6,0,0,0,0,1
FUN_000183,0,0,0,0,0,0,0,0,0,0
FUN_000184,2,6,5,6,7,6,2,12,4,7
FUN_000185,0,0,6,0,5,2,4,2,1,4
FUN_000186,173,256,137,204,414,296,230,470,285,439
FUN_000187,1,5,5,6,7,6,2,11,4,6
FUN_000188,0,0,0,0,0,0,0,0,0,5
FUN_000189,12,25,16,32,31,23,9,40,8,34
FUN_000190,64,420,75,188,21505,9017,442,19147,14555,19353
FUN_000191,9,370,87,459,13,17,22,17,19,14
FUN_000192,207,748,149,85,33844,18973,2341,28503,22100,35396
FUN_000193,51,65,69,62,108,113,99,123,113,150
FUN_000194,0,8,0,9,12,12,22,28,24,28
FUN_000195,109,143,88,109,113,111,134,146,160,189
FUN_000196,1754,2116,1191,1913,2696,2708,2736,2552,2625,3468
FUN_000197,537,769,825,695,1193,949,657,1112,872,1289
FUN_000198,332,371,374,428,978,736,513,907,779,951
FUN_000199,55,67,93,72,113,87,63,126,76,115
FUN_000200,1423,2990,2162,2146,790,668,1359,553,2239,1200
FUN_000201,7,60,7,38,3,6,29,0,0,5
FUN_000202,106,149,150,118,229,185,133,200,179,196
FUN_000203,849,1140,1028,797,1893,2507,1137,3054,2405,2925
FUN_000204,40,50,48,33,70,40,57,39,34,46
FUN_000205,23,53,4,41,22,20,14,12,10,16
FUN_000206,540,1326,532,226,13617,9304,9195,14686,12212,14233
FUN_000207,29,23,39,23,126,45,78,126,114,142
FUN_000208,110,231,82,15,1126,691,29,1263,1485,1514
FUN_000209,641,1089,455,142,4064,2001,129,3094,3695,3352
FUN_000210,169,221,211,155,320,266,200,237,219,363
FUN_000211,30,107,305,42,114,194,22,470,168,747
FUN_000212,480,553,754,597,964,672,707,817,715,940
FUN_000213,230,253,314,273,429,368,236,376,288,507
FUN_000214,296,360,289,324,738,534,511,753,680,896
FUN_000215,596,1048,813,711,1489,1067,831,1658,2503,1862
FUN_000216,752,803,693,780,1810,1435,1229,2050,1610,2057
FUN_000217,340,426,610,420,884,648,563,877,665,945
FUN_000218,1461,1891,1617,1733,2349,1881,1861,2364,1886,2588
FUN_000219,22,0,21,30,44,42,24,49,46,64
FUN_000220,467,695,575,594,1589,1206,869,1563,1275,1807
FUN_000221,97,148,129,121,226,144,102,162,154,215
FUN_000222,5,0,0,0,0,0,0,0,0,0
FUN_000223,0,6,0,0,7,11,0,5,13,6
FUN_000224,10,16,4,6,14,9,5,5,5,6
FUN_000225,11,33,70,32,83,42,17,43,155,86
FUN_000226,2199,2665,1371,288,6573,3051,189,5405,6424,4825
FUN_000227,1037,308,827,280,6,91,208,0,4,0
FUN_000228,1051,393,830,228,45,77,219,16,18,26
FUN_000229,954,1102,838,187,1650,403,169,847,648,670
FUN_000230,1132,1187,778,97,2261,605,56,1271,1020,1128
FUN_000231,47,169,4,0,2615,1720,13,2975,3761,2505
FUN_000232,2405,2499,1398,203,7911,4458,144,6930,9045,6740
FUN_000233,103,117,65,0,38,34,0,9,0,0
FUN_000234,15,74,69,39,23,11,39,8,22,0
FUN_000235,310,279,185,51,609,255,29,455,474,525
FUN_000236,4,7,0,0,9,24,6,27,23,20
FUN_000237,395,476,423,385,723,527,462,696,626,852
FUN_000238,213,360,258,331,449,400,341,437,381,459
FUN_000239,39,133,101,99,56,28,93,53,29,64
FUN_000240,118,279,295,195,104,91,177,85,67,133
FUN_000241,452,667,224,474,682,607,783,631,548,762
FUN_000242,1105,1205,1784,1325,2107,1621,1174,2154,1558,2140
FUN_000243,372,424,327,368,827,577,384,813,593,892
FUN_000244,13,15,8,9,31,28,14,42,40,47
FUN_000245,640,920,762,896,1640,1393,1044,1842,1569,2006
FUN_000246,607,992,498,609,1688,1197,649,2153,1322,1993
FUN_000247,0,0,0,0,0,0,0,0,0,0
FUN_000248,4,6,9,10,10,9,4,8,4,10
FUN_000249,0,19,8,0,28,0,10,10,0,15
FUN_000250,26,39,26,33,72,72,57,92,72,94
FUN_000251,189,281,367,317,383,317,222,326,228,359
FUN_000252,1545,1458,1111,1110,3507,2585,1715,3349,2612,3618
FUN_000253,335,519,581,560,1251,952,672,1262,1072,1570
FUN_000254,165,234,228,199,345,355,256,330,339,475
FUN_000255,159,303,131,205,349,217,226,331,260,406
FUN_000256,107,132,105,105,152,122,92,107,215,287
FUN_000257,788,964,783,867,1591,1179,887,1521,1223,1570
FUN_000258,0,0,0,0,0,0,0,0,0,0
FUN_000259,35,43,27,67,56,38,60,44,37,72
FUN_000260,0,0,0,0,0,0,0,0,0,0
FUN_000261,2,0,0,3,0,2,3,4,0,6
FUN_000262,1338,2015,2323,1800,3642,2649,1817,3428,2630,3756
FUN_000263,737,939,869,985,1780,1273,1027,1480,1236,1683
FUN_000264,0,16,29,6,39,146,14,93,101,142
FUN_000265,0,0,31,25,64,83,59,72,67,57
FUN_000266,576,1016,1125,440,1341,1355,760,2704,1263,2702
FUN_000267,18,35,25,26,37,43,25,32,28,24
FUN_000268,15,44,46,39,57,28,24,54,31,64
FUN_000269,10,18,8,7,33,27,24,27,28,30
FUN_000270,37,139,79,66,140,83,59,114,64,206
FUN_000271,0,6,5,7,0,4,0,3,0,0
FUN_000272,136,209,237,171,294,218,164,279,220,322
FUN_000273,693,758,606,757,1791,1249,997,1372,1288,1925
FUN_000274,4,0,0,0,7,0,0,0,15,15
FUN_000275,203,281,242,205,434,427,186,410,383,455
FUN_000276,330,401,436,358,734,533,434,650,585,746
FUN_000277,224,372,285,305,463,447,330,456,426,660
FUN_000278,2382,4182,1707,2728,3309,2940,3124,2948,3179,4024
FUN_000279,383,786,906,790,85,243,431,83,114,129
FUN_000280,2023,3220,2472,2277,3466,2893,2868,3622,3318,4687
FUN_000281,254,357,210,326,591,483,375,710,599,782
FUN_000282,37129,54643,64313,48316,57228,44325,49670,55133,41615,51983
FUN_000283,132,214,158,161,191,207,168,179,149,211
FUN_000284,0,0,0,0,0,0,0,0,0,0
FUN_000285,0,5,0,0,0,0,0,0,0,0
FUN_000286,90,138,193,150,321,292,191,272,207,264
FUN_000287,748,863,655,717,1834,1416,1194,1744,1532,2089
FUN_000288,545,905,551,669,1028,837,769,995,738,1193
FUN_000289,101,125,70,103,206,157,115,169,138,201
FUN_000290,0,0,0,5,0,0,17,0,0,8
FUN_000291,0,0,0,0,242,3118,2270,1687,689,1951
FUN_000292,16,33,42,42,35,40,32,18,31,39
FUN_000293,319,434,416,452,875,713,502,875,719,887
FUN_000294,86,139,113,113,195,128,91,142,138,179
FUN_000295,187,402,186,244,365,395,319,228,432,434
FUN_000296,31,37,13,10,62,33,32,26,12,49
FUN_000297,113,160,107,178,283,218,160,247,249,309
FUN_000298,81,552,311,308,4159,3044,1752,4066,3554,4860
FUN_000299,410,566,208,401,857,647,572,868,800,1110
FUN_000300,9,16,10,14,10,16,13,38,8,25
FUN_000301,530,659,474,616,1151,824,927,1248,995,1473
FUN_000302,167,280,191,192,315,280,204,340,275,396
FUN_000303,64,118,111,113,128,99,79,127,98,138
FUN_000304,854,983,1077,829,1973,1729,1071,1940,1644,2111
FUN_000305,246,421,486,420,627,501,333,522,454,618
FUN_000306,0,0,0,0,0,0,4,0,0,0
FUN_000307,163,187,186,208,230,132,127,207,176,229
FUN_000308,981,1613,1042,1240,2177,1864,1475,2214,1954,2542
FUN_000309,1495,1857,1492,1520,3069,2312,2018,2838,2212,3030
FUN_000310,195,337,186,301,687,690,248,552,629,728
FUN_000311,21,28,30,37,41,59,11,35,41,46
FUN_000312,235,459,284,198,737,526,270,1109,643,855
FUN_000313,519,636,409,555,1099,408,583,1328,633,1208
FUN_000314,11,13,2,0,17,29,0,19,23,34
FUN_000315,86,86,45,66,133,93,53,131,107,149
FUN_000316,240,420,357,324,725,594,508,704,582,878
FUN_000317,134,231,169,178,340,260,194,351,265,333
FUN_000318,82,119,65,73,203,135,106,88,111,228
FUN_000319,3535,4656,5928,5352,8679,5995,4889,8116,6280,8453
FUN_000320,558,792,859,655,1137,743,601,985,693,1136
FUN_000321,235,354,342,319,482,379,457,463,392,578
FUN_000322,207,235,243,215,315,265,271,329,309,368
FUN_000323,161,324,164,258,192,193,222,167,182,239
FUN_000324,91,147,139,164,191,153,131,181,177,202
FUN_000325,421,672,709,635,709,584,640,724,604,739
FUN_000326,412,665,610,527,4066,4386,2276,4818,4383,6044
FUN_000327,875,1012,713,705,1365,982,1169,1309,1123,1643
FUN_000328,17447,25917,33307,23212,28247,24798,21284,25254,19768,27009
FUN_000329,156,239,79,177,234,229,185,247,249,307
FUN_000330,1249,1564,1602,1318,1537,1277,1605,1490,1629,2160
FUN_000331,51,66,69,40,116,95,56,106,69,109
FUN_000332,138,253,187,159,283,232,172,223,245,344
FUN_000333,3,5,15,0,15,0,0,5,0,4
FUN_000334,252,432,348,315,499,386,286,426,463,604
FUN_000335,0,0,0,0,0,0,0,0,0,0
FUN_000336,0,13,0,0,151,87,118,197,180,183
FUN_000337,1147,2020,2069,1639,2952,2871,1724,2398,1865,3462
FUN_000338,2478,4400,5082,4588,4961,3637,3508,4507,3717,5318
FUN_000339,936,1324,1710,1161,1458,1150,1429,1303,1154,1571
FUN_000340,859,1129,992,905,1254,773,881,1196,877,1274
FUN_000341,709,861,569,706,1253,829,803,1184,967,1509
FUN_000342,90,139,88,75,207,183,86,150,129,206
FUN_000343,668,970,983,922,1497,1003,983,1454,1254,1561
FUN_000344,316,600,549,519,215,162,442,141,211,249
FUN_000345,36,37,16,17,723,609,926,708,848,813
FUN_000346,893,1142,1131,924,1927,1423,1152,1734,1397,1992
FUN_000347,453,554,485,458,855,644,556,793,622,964
FUN_000348,374,579,240,399,1125,912,520,1246,1002,1652
FUN_000349,176,257,146,175,341,283,216,376,302,433
FUN_000350,48,55,52,46,83,37,59,55,61,80
FUN_000351,117,164,137,142,162,158,152,108,150,248
FUN_000352,505,515,199,278,426,428,393,391,279,444
FUN_000353,152,269,137,170,276,184,257,186,209,292
FUN_000354,428,403,223,280,533,273,294,199,207,395
FUN_000355,167,223,204,231,376,360,266,435,266,393
