"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.8826535977339,2.47762735606908,8.82313318861096e-26,1.05149689775271e-22
"FUN_000887",-10.667513646425,3.842549222835,9.54128561226989e-48,4.54833085136906e-44
"FUN_002487",-10.0968874294418,1.71791319780996,1.74633709743268e-16,5.54985929564105e-14
"FUN_002467",-9.46794246202102,6.34817676327283,1.32187056889308e-23,1.26027140038266e-20
"FUN_012054",-9.24149739569273,7.26463316381266,9.34844886220402e-30,1.48546852420422e-26
"FUN_008877",-8.98521432975195,7.87566048569471,1.72870982895851e-46,6.18056981598391e-43
"FUN_002485",-8.68591243332406,3.72731054310851,2.70542624421073e-59,3.86903007184577e-55
"FUN_002466",-8.44959289211492,7.56020794920961,7.10535509649973e-20,3.62906011553724e-17
"FUN_002470",-8.35531950188348,7.14896085809705,4.85376803914898e-16,1.44611951516395e-13
"FUN_012053",-7.7878433146736,7.30168283406917,7.69749292389824e-13,1.1119378414613e-10
"FUN_002486",-7.67664034088185,2.74128055751791,8.70488996927739e-48,4.54833085136906e-44
"FUN_006209",-7.44240940576108,3.92028687457547,1.79522843511269e-30,3.20919523131833e-27
"FUN_011854",-7.39453190036567,1.38804890507079,1.14358003389902e-26,1.63543380647899e-23
"FUN_008903",-7.30729883203078,0.601971766093271,6.0304371268757e-21,3.74962092832389e-18
"FUN_010492",-7.04835062808326,2.36258496617454,4.27428564491167e-26,5.55695990980744e-23
"FUN_014624",-7.0211093564388,1.02210656336053,3.3007040669729e-21,2.14560767553543e-18
"FUN_005334",-6.74144427681609,4.18272567179564,3.22561937684304e-37,9.22591654164647e-34
"FUN_012690",-6.65007790553527,2.18452535469868,6.98630916424482e-32,1.42730296225522e-28
"FUN_008732",-6.60946273756465,1.35845155150337,2.40760360190823e-07,7.76368788063266e-06
"FUN_005514",-6.54793893321064,3.9705724986294,4.67800601715949e-24,5.14616646549214e-21
"FUN_012623",-6.16328707287688,2.93871143686944,1.87374570854919e-12,2.4360397616329e-10
"FUN_002465",-6.13326716171303,5.23714117058837,2.0527469883092e-08,9.06626982977594e-07
"FUN_003235",-6.11209114897926,3.26942995259532,5.7895519383745e-13,8.9028368033004e-11
"FUN_003330",-6.0439671270313,0.945590862449823,5.74330015132468e-16,1.67622317273662e-13
"FUN_014788",-6.03573130288841,4.79074751048942,2.12601705636178e-05,0.000362385815530749
"FUN_004069",-6.01296460081906,5.41503808153827,3.18303614992841e-06,7.17990535964135e-05
"FUN_012622",-6.00250159783118,8.40708282658442,2.10265082202913e-21,1.43190520980184e-18
"FUN_005722",-5.99950160097743,4.99220874506746,6.84929323924428e-35,1.63252904357387e-31
"FUN_002469",-5.92485550529451,7.09258479354294,6.30060518648664e-12,7.15118688666234e-10
"FUN_000190",-5.71880957440226,8.16850221470948,1.44094300574004e-19,6.86897530836275e-17
"FUN_010552",-5.59028497694159,4.7022501777926,1.33034553403171e-09,8.20054805266704e-08
"FUN_002468",-5.5794998301162,5.0349946865208,1.62945317690602e-16,5.36930660308313e-14
"FUN_012575",-5.53815482787355,5.52037074802783,1.53405214144483e-17,5.77328412494803e-15
"FUN_002488",-5.48874024442146,4.14177071288032,0.000833375756355558,0.00843461195445211
"FUN_004335",-5.48241903140525,6.04773444723241,2.03893982795716e-13,3.73831775379684e-11
"FUN_008657",-5.40142996865369,3.25543537273133,8.02149523177793e-07,2.18922525400107e-05
"FUN_000231",-5.38328942582265,5.8958842895786,1.70262791950778e-08,7.75454836843337e-07
"FUN_000823",-5.29856335912263,6.61196520381522,2.91192480927177e-14,6.4066825688301e-12
"FUN_013377",-5.25303138707483,3.64137396087868,7.23939856869504e-14,1.45817801311138e-11
"FUN_010322",-5.25166808239253,7.01113422636566,7.80082329786848e-08,2.92040769588527e-06
"FUN_004907",-5.20021229289338,6.56020749946567,0.000120587498063117,0.0015913254514453
"FUN_008133",-5.17709116626414,7.14233031742023,8.4369670471076e-05,0.00116802580581496
"FUN_000815",-5.13109381133431,1.05937222099519,2.04515742133977e-12,2.59673369749004e-10
"FUN_008712",-5.11382403270752,1.66368123621199,1.66765171214981e-06,4.06287685442155e-05
"FUN_005461",-5.10949214286586,2.54190726881081,1.03377279114132e-08,5.01152023258036e-07
"FUN_002475",-5.0867034191559,6.92922646452649,3.80706853811646e-09,2.0468002693084e-07
"FUN_007703",-5.03541655103624,5.16894683632598,3.62166359125806e-06,7.99281034237369e-05
"FUN_013146",-4.99116045866346,0.792376843201296,1.41672254083345e-17,5.47582406931327e-15
"FUN_004074",-4.89515177024113,0.110127600416748,1.94672770585263e-05,0.000338276463200468
"FUN_013729",-4.87099521489873,-1.42773538072325,7.11569017632796e-09,3.67369982713596e-07
"FUN_015964",-4.81445768632373,1.50588087192622,2.27974953489521e-12,2.83501722595968e-10
"FUN_000192",-4.78759217178348,9.18295506121978,1.63065060445939e-10,1.30278962538401e-08
"FUN_000885",-4.75916609153369,4.65379022705508,5.4351953756249e-11,4.59933308087643e-09
"FUN_006082",-4.74834964272045,5.41095693257974,0.000325859001117177,0.00371916167196868
"FUN_010905",-4.74189338494524,1.65973431644659,2.50635615468404e-17,8.9608498420341e-15
"FUN_014388",-4.70576770563335,6.64544022459652,3.77489002475262e-05,0.000588068651895286
"FUN_016260",-4.69445848903467,-0.993878320640985,2.81487197984474e-11,2.58047975536921e-09
"FUN_005065",-4.65770135641989,2.93006793887569,2.8478020193567e-11,2.58309398036301e-09
"FUN_015771",-4.63974091199057,-0.969859308871463,0.000158100483881689,0.00199911142351196
"FUN_007961",-4.63109857037007,4.68903630217276,2.32676758276658e-06,5.41939791549591e-05
"FUN_000946",-4.62665136086642,3.28179130745481,2.38119023383968e-06,5.53713846083597e-05
"FUN_003289",-4.57440315732009,3.95242110538231,2.21539702015339e-07,7.26660384981964e-06
"FUN_007512",-4.5679718366282,0.830799850006632,4.67121248742883e-05,0.000703930556193042
"FUN_002474",-4.5460257957125,2.21454256653913,7.77608665276227e-06,0.000154238301277605
"FUN_003027",-4.53632635128106,0.403977516573917,4.5175639944294e-11,3.89190859544186e-09
"FUN_014789",-4.49983188635789,4.85133317956078,0.000432592645770274,0.00476618445852133
"FUN_006187",-4.49092077414859,8.89459050113592,1.36900086484771e-16,4.66144794480644e-14
"FUN_000945",-4.34415924484159,3.10788393587802,1.31765125981285e-06,3.3175582159478e-05
"FUN_008633",-4.33046398813928,1.79213574951579,1.65702050341731e-05,0.000295843323587652
"FUN_008904",-4.29658555046529,2.45274387468552,1.26600301445235e-17,5.02919697491195e-15
"FUN_006445",-4.24813584383031,5.60853294570359,0.000694817068956501,0.0071744252008281
"FUN_009903",-4.22081654946986,4.74126652592598,5.26819288349802e-09,2.78008953604816e-07
"FUN_004073",-4.18185258221792,4.46815295528255,0.00185281682389632,0.016738555526558
"FUN_005294",-4.16812419488551,10.2156299979206,1.31710224467985e-11,1.32647036627933e-09
"FUN_003300",-4.15191046585268,5.25886136569302,3.91550223489426e-18,1.69683628670372e-15
"FUN_005067",-4.10368987316561,7.72354788901538,1.95001951852385e-05,0.000338437246776815
"FUN_012157",-4.01456442515544,6.25675493384032,4.27977811164327e-16,1.30223631435341e-13
"FUN_004072",-4.00439173673234,1.40571932117735,1.0764365536918e-05,0.000203895617938363
"FUN_003282",-3.98411005700466,-0.408923458012848,1.20800218258487e-05,0.000225236495608164
"FUN_012689",-3.97631402705283,1.88874886360771,6.78935476372393e-12,7.64524113984378e-10
"FUN_013367",-3.97242063857017,2.79376376439244,4.96534115627629e-05,0.000738142867732924
"FUN_012579",-3.95516204000205,5.49554753655133,1.71159053406083e-07,5.75940146531856e-06
"FUN_007944",-3.91650947712217,3.91939419638474,1.58346680171427e-06,3.89761768180995e-05
"FUN_015181",-3.90395351977956,5.49265886797155,1.69636377739336e-22,1.5162311487814e-19
"FUN_004068",-3.90098508393349,1.36274339699119,2.6757689483823e-05,0.000442895506143695
"FUN_001631",-3.89121463778173,1.38175675047005,2.42020158722394e-09,1.38445211595558e-07
"FUN_008629",-3.87334585745217,5.04243125920339,2.05996684553436e-05,0.000353232444340371
"FUN_001231",-3.85612624282048,0.134497361415855,0.000331492269287393,0.00378043934854785
"FUN_007266",-3.84176006831945,7.45735682749473,1.65839759471439e-13,3.12062421079085e-11
"FUN_000942",-3.83520651280874,4.31513805119943,5.99139917105606e-08,2.32834237894763e-06
"FUN_002147",-3.78130061663246,6.1974753370387,4.42303936125167e-06,9.56942298112861e-05
"FUN_013728",-3.77231249702135,4.12092458770992,3.70311513235718e-05,0.000579411920217068
"FUN_002102",-3.76350216705215,4.77878017690809,1.98323643050127e-05,0.000342126226689971
"FUN_008829",-3.73493758201842,5.17300634016139,3.01811905085369e-11,2.69763253414116e-09
