"","logFC","meanExpr","pval","adj.pval"
"FUN_002467",10.9771000585324,1.58658104297771,0.000279034680246108,0.00407191322673428
"FUN_002466",10.5481872460543,2.93105986093046,0.000118768998880718,0.00252019301854999
"FUN_012054",10.0087984848843,2.89100906114977,0.00420632691237429,0.0215577022868886
"FUN_004069",9.86090203586773,1.62563335066332,0.000635045150974515,0.00657147663103223
"FUN_002470",9.82925927270206,2.78428366871247,0.00385849102002598,0.0202570778551364
"FUN_016255",-9.78985682827066,1.81567119527912,0.00272958944802295,0.0161301666902482
"FUN_016376",-9.77935891348674,1.80922985517657,0.00280453253192281,0.0163437733247873
"FUN_002485",9.71737362974341,1.89602644025892,3.25331197441619e-05,0.00130689928500354
"FUN_010723",-9.61201105656131,3.89281572271035,0.000391467373803856,0.00490655119436367
"FUN_010720",-9.54925759366392,0.531413753561683,0.00209928099418289,0.0136251540060018
"FUN_002486",9.52761543069575,1.85295629834766,4.05296347497581e-05,0.0014308798643752
"FUN_002483",9.38936241628627,2.45152377698428,0.00589713807395538,0.0271348042457001
"FUN_006082",9.27370871234485,1.52356890173681,0.000762141311245646,0.0074044720734538
"FUN_002478",9.12819043614859,3.13314252463506,0.00441122716016663,0.0223072700203476
"FUN_008877",8.93208637907734,4.03015972004214,2.59320161021273e-07,0.0003102243037997
"FUN_008133",8.90248782252248,3.6855502819632,0.000243039838669592,0.00381558899038098
"FUN_004907",8.86737764689971,2.72938446187461,7.73592605650578e-05,0.00196155103783846
"FUN_004073",8.86571339585527,1.14766172681828,0.00156243335439002,0.0114234966263454
"FUN_008820",8.8560836134316,1.58916257858866,0.000196133539002518,0.0033559149170007
"FUN_007854",-8.79176061700184,2.46973051770558,0.00212616743294199,0.013721263744812
"FUN_016330",-8.61638893970438,2.2622569467269,6.80597707898719e-05,0.00185254140320085
"FUN_002072",8.59118008075122,2.62602395903905,0.00977868124435173,0.0387955030375943
"FUN_002489",8.55395645419213,2.76846594448906,0.0128901743112717,0.0474742165401741
"FUN_010499",-8.52107624909301,3.53107173974357,0.00018509328305586,0.00324787612390412
"FUN_006429",8.41979246026227,4.49499854233491,0.00338250435828335,0.0185622389976248
"FUN_002114",8.41714940525445,4.6130124018882,0.00136649921132063,0.0105446296280019
"FUN_012053",8.36315580823218,3.66200605638943,0.00219448057464974,0.0140105974946552
"FUN_012574",-8.29805419630413,0.232341392371727,0.0123911209871222,0.0462074110135163
"FUN_003926",-8.29138144585079,4.08190747730798,1.37320232642593e-05,0.00082952493512479
"FUN_010722",-8.26416859568826,3.52009568139568,0.00168110963873203,0.0119550218515697
"FUN_002481",8.23845887681009,2.50977014504612,0.0109038908017773,0.0421678048556563
"FUN_002587",-8.19196858056731,4.53479202133221,0.000503501939944976,0.00571474701837548
"FUN_002036",-8.14845406965008,-0.332992418551977,0.000518644813696136,0.00581736429856348
"FUN_011714",-8.10350772631359,5.88749656871988,0.000128273735450066,0.00265092874374479
"FUN_003609",-8.05498004376034,-0.891639244711521,0.00542547963123164,0.0256530010508607
"FUN_012764",8.04258318044816,1.61710411207271,0.000340042737677457,0.00451947136758858
"FUN_007703",7.99107249614298,1.84518711044332,0.00993068310594454,0.0392727303941557
"FUN_001449",-7.98159718259821,-1.6702991577168,0.00810072770880462,0.0339191858454529
"FUN_006445",7.96364103184372,2.3411293335708,0.00262791830691478,0.0157814046052263
"FUN_002491",7.95369185921773,1.23877420087614,0.00487761762259338,0.0238722825532881
"FUN_001413",7.91711347800663,4.55116303865284,0.00141335259870662,0.0107165646321679
"FUN_014797",-7.9030187175567,2.50924747333567,0.000549844707576752,0.00599631758864797
"FUN_002465",7.89070793748581,2.0392946625535,0.00628588481724351,0.028295385197167
"FUN_009857",7.84734152253985,2.27024570366473,0.00977566967686756,0.0387955030375943
"FUN_005514",7.82898412595076,0.912286447803228,0.00476808883669523,0.0235294818680395
"FUN_009853",7.81807596959966,3.46377308659012,0.00128116829654029,0.0100947591233183
"FUN_010721",-7.81333874059789,0.0144865699198969,0.00156432684493614,0.0114256579210581
"FUN_008657",7.80978089685323,0.286038671015004,0.0104231369892908,0.0406826643241943
"FUN_006406",7.79690764221242,1.3310951663229,0.0115026358810794,0.0437847207174118
"FUN_009854",7.78720017207544,3.42929929962883,0.00153519571599713,0.0112994513301466
"FUN_013367",7.78297175681297,0.606484202605085,0.0019902421890276,0.0132753981088077
"FUN_002161",7.76995773892841,2.75401814280685,0.0015792241128381,0.0115111992883768
"FUN_015322",-7.7323013311104,2.95208059855667,0.000632440598605157,0.00654926357759041
"FUN_010431",7.7157063323494,2.47174885188755,0.0117907896677611,0.0446084875763627
"FUN_005334",7.71294591440376,1.25844078744409,0.0108169036587554,0.0418880420319149
"FUN_001417",7.68205870482226,4.58764414154006,0.0033620006403818,0.0184922965992693
"FUN_011716",-7.67238396007067,5.83563986459107,0.00013240504958286,0.00268087646880315
"FUN_012576",-7.62035923038176,2.08376006009148,0.00308770380416364,0.01743278803922
"FUN_012330",-7.59513284036559,-1.86615422971441,0.00188577651888094,0.0128482563108701
"FUN_007961",7.5671046678061,1.63483554376534,0.00344631154532638,0.0187969875704472
"FUN_010717",-7.5047803897436,1.0991588954233,0.00519071470883112,0.0249185669858993
"FUN_003223",7.48652993919913,1.80303814975911,0.00371554477892479,0.0197908093802752
"FUN_014388",7.44028609539745,3.59086933322627,0.000516928747069233,0.00580722546098751
"FUN_002474",7.39979838496434,0.835120677315646,0.000334295111838805,0.0044931902203071
"FUN_001932",7.39833789210803,0.975419849139245,0.00787600665645974,0.0332452099155935
"FUN_010417",7.3967061588467,3.52654062227438,0.00363905886558485,0.0195133786414432
"FUN_006410",7.33971949616397,1.96162774948995,0.0136531002718126,0.0494186249018457
"FUN_002586",-7.32792064385292,4.55321258625737,0.000403371196046813,0.00498152977086828
"FUN_001410",7.30594768362136,3.29551721787458,0.00429575866721136,0.0218858727110045
"FUN_009856",7.27234645580505,3.58000033589343,0.00339894420701989,0.018611738153414
"FUN_005125",7.23439848384452,1.98407883511551,0.0124227388502983,0.0462770482672871
"FUN_002585",-7.23133628020754,4.33834028487275,0.000744198062619463,0.00730224864356287
"FUN_010428",-7.22611595234421,0.171529104196656,0.000678363704726357,0.00687059443434251
"FUN_004916",-7.22186738726136,6.24488977232027,0.00582971183725469,0.0269459305056817
"FUN_010416",7.20155192794533,3.37137172554369,0.00381703271044585,0.0201355163379145
"FUN_015683",-7.18856887458592,5.56696382939954,3.60829721132889e-05,0.00136876017027094
"FUN_001414",7.18079805945768,5.21414259002097,0.00187204354879517,0.0127790428598185
"FUN_010498",-7.05988343256568,5.2129761528679,1.63315363802116e-05,0.000907075499132842
"FUN_009852",7.05638221044858,4.47252219648101,0.00121563687993197,0.0098114769352228
"FUN_013793",-7.04580393425688,1.64668254494352,0.00163169763096097,0.0117260843318456
"FUN_013517",7.04081153540971,4.35041646319389,0.00125166640880989,0.00996723072656006
"FUN_000231",7.01732637703468,3.14251558531428,0.000261283957805643,0.00393311112227953
"FUN_009761",7.01679813085135,3.64004305465829,0.000678283159232094,0.00687059443434251
"FUN_002089",6.94819440744419,6.29670204371234,0.000290592566536579,0.00419083386198008
"FUN_010391",-6.93914086457636,2.77617295887702,0.00119711497179501,0.00972171562273734
"FUN_002588",-6.9385943765347,5.42596869161383,0.000132886904754405,0.00268087646880315
"FUN_001416",6.93006133967952,4.46868126301507,0.00409473363880835,0.0211709276097607
"FUN_011854",6.92285276023763,-0.889796021819678,0.00541596883191027,0.0256384542420221
"FUN_001415",6.91761296948532,5.33687145439243,0.00259209746583859,0.0156501617387479
"FUN_010322",6.88191057571749,4.38744905667792,0.000243663731766402,0.00381811720032703
"FUN_009063",-6.87847931809056,5.16355114563158,0.000234981864190959,0.00374335784742128
"FUN_000714",-6.85843568541136,2.30039087549103,0.000638951847698439,0.00659264211891895
"FUN_010286",-6.83560677730271,-1.24157427391756,0.00239657386423049,0.0148548345430556
"FUN_007454",-6.82786947910812,5.16772596533263,0.000773684856735733,0.00745584038825992
"FUN_005722",6.80381110776229,2.44844507798499,0.00103594066957415,0.00893545688515076
"FUN_009760",6.79804815918597,5.06110681444822,0.00627332064971192,0.0282655194113202
"FUN_001421",6.77442504298649,4.18599150791479,0.00272812988243266,0.0161285595075111
"FUN_003237",6.73216014872237,0.388111841205659,0.00972932615950639,0.0386927401020859
"FUN_007009",-6.70050172450355,3.87601588288339,1.06076875339614e-05,0.000717861239125226
"FUN_010100",-6.69721549844768,5.45554993051007,0.00147022489293619,0.0109565847805526
"FUN_005223",-6.67974897785866,-2.31331419298759,0.000423298181610973,0.00513451000442623
"FUN_002679",-6.67531186057622,-2.35362221898995,3.17532672756004e-05,0.00129743850088103
"FUN_008219",-6.67116586497261,0.689429675119978,0.000380133157396131,0.00481940096092383
