"","logFC","meanExpr","pval","adj.pval"
"FUN_002467",10.9178374938692,1.79467970657871,1.92534425017961e-06,0.000253902345488667
"FUN_010723",-9.9701141887328,3.60216506547417,8.14718703811862e-05,0.00171250196118529
"FUN_002470",9.66258485156381,3.07328490348779,9.57097881948074e-05,0.00186502337308861
"FUN_002466",9.64688865234618,3.60969476843324,1.77584488672137e-06,0.000244542039716158
"FUN_012054",9.58036769659034,3.20374151395243,6.40339144921542e-05,0.00146528016763491
"FUN_002024",9.45701808004944,2.09092155611529,0.00305577518597648,0.0160521901332043
"FUN_004069",9.43460326240293,1.5739862542717,2.78467323431423e-05,0.0009189362328094
"FUN_000887",9.40362956409055,-0.0479397462011736,0.000285957607051818,0.00353102069909038
"FUN_004907",9.34165981735495,2.73844220789718,1.17998731231646e-05,0.000580769811674628
"FUN_012053",9.21306883107173,3.35299619576227,0.00032118459000004,0.00375710931703167
"FUN_008877",9.15517898820468,4.21781242513662,6.24459261699152e-09,8.72869156003075e-05
"FUN_010720",-9.08920175461047,0.120899177098073,2.82588092010642e-05,0.0009189362328094
"FUN_002485",9.04355408046713,0.149549390238708,3.37574989395606e-07,0.000127089962413286
"FUN_011713",-9.01525579194332,1.63115288896592,0.0022624817030651,0.0130952253604323
"FUN_008133",8.94086052170498,3.46545185310476,3.09312549928639e-05,0.000973879709596051
"FUN_002072",8.91543987726918,2.41056930986421,0.00149313346471028,0.010014884630384
"FUN_011714",-8.88991448442326,4.50527201416944,3.86183638348164e-05,0.00110843427039644
"FUN_006082",8.8338224656692,1.84114202606528,4.03163095278104e-05,0.00113617212616882
"FUN_003926",-8.81798937781393,3.64270991352403,4.99005432451824e-06,0.000368971071648337
"FUN_005947",-8.81473475610765,1.15028877315432,0.00386359114722637,0.0190494804430089
"FUN_002114",8.70924533254426,4.64536283999736,0.000283976002328929,0.00351275801818917
"FUN_008820",8.63766104563063,1.90432745431894,4.704673636252e-05,0.00124549106226384
"FUN_002483",8.58129281341192,2.89590038762246,0.000780420317898503,0.00656360722237381
"FUN_004073",8.5429992039845,0.988446128960445,0.000174165092937647,0.00261943202842774
"FUN_002478",8.48424651590074,3.48594513018272,0.00108716629208675,0.00806990913774579
"FUN_007854",-8.45266437332647,2.49657176204553,0.000204142860716703,0.00289048921211755
"FUN_010722",-8.43352516806659,3.30153120978251,0.000342174925680638,0.00391401072926674
"FUN_002465",8.37313037017855,1.82211704423928,0.000505819972444174,0.00492021682312086
"FUN_016330",-8.3365208252328,2.6483400088249,5.55004319636371e-06,0.000395808692850877
"FUN_010499",-8.30360466771611,3.75235329285412,2.46803438014755e-05,0.000877816401162911
"FUN_013139",8.17523976261708,-1.01671493376166,0.00108462440919876,0.00806536392823686
"FUN_002161",8.14735163117414,2.68125264071,0.000303515617221752,0.00363854313681445
"FUN_014991",-8.10687250855757,0.668056529011564,0.00544556942593053,0.0242491779024074
"FUN_006445",8.06876483276947,2.38777023491336,0.000413590012817089,0.00437627740596175
"FUN_002481",8.05345599247117,2.64874333484848,0.00169271913044187,0.0108337124566467
"FUN_001417",8.03860718963264,3.36420071401809,0.00132346098085525,0.00920365054248495
"FUN_001421",8.03685009889177,1.84345636527166,0.00125271707689807,0.00887955339801276
"FUN_002482",7.9480427487313,2.17329670471119,0.00223647836913197,0.0129877418544772
"FUN_001414",7.91296914671727,4.78045575288877,0.000508873383504431,0.0049327546148578
"FUN_012764",7.90908053756318,1.65027457380647,5.55362199462573e-05,0.00134771750418192
"FUN_002489",7.89089792162227,3.29424953997093,0.00216075572905393,0.0126852719053941
"FUN_008657",7.85622208870697,0.145264256018878,0.000248196567071425,0.00323627949116081
"FUN_003241",-7.85614209807021,1.88111088940891,0.00363196189536626,0.0182027835688166
"FUN_014797",-7.85586436084483,2.85987383307222,9.08224042251467e-05,0.00179310108228687
"FUN_002491",7.85225715575888,1.0108206011453,0.000602191730413605,0.00552325197357045
"FUN_001413",7.7544400397565,4.60768741431758,0.000295567904411928,0.0036019600417349
"FUN_011716",-7.74745527482983,4.54406309711057,4.84884873676043e-05,0.00126261438628254
"FUN_012576",-7.7375352674753,1.83343158255776,0.000476802731222487,0.00475713674306061
"FUN_009854",7.72339781099008,2.51224235590028,0.000399689835348002,0.00429548088939289
"FUN_009857",7.72053189547617,2.40512788743838,0.00170547443287238,0.0108733138474643
"FUN_002486",7.71251225610255,-0.180799014379296,1.67369624907137e-07,0.000127089962413286
"FUN_012685",7.6244298635414,0.962213067785547,0.00652501048761087,0.0277055275199954
