"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.1571861756395,2.66122860126431,8.9532263266878e-23,7.19839396665699e-20
"FUN_008877",-9.01792846333885,7.50478317208969,9.25898196967168e-49,6.32758827807363e-45
"FUN_000887",-8.98673386206502,4.28739400240159,2.0245961247268e-49,2.7672179832766e-45
"FUN_012054",-8.84987315625655,7.06158027735991,2.86973350467245e-35,4.90293969273287e-32
"FUN_002467",-8.70724259256331,6.18349812492753,8.34158489015083e-32,1.14012782278582e-28
"FUN_002487",-8.31220339079985,0.95589648249468,4.00542944043192e-11,2.82196956658884e-09
"FUN_002486",-8.16105669790535,5.87052595070691,4.16803216592886e-39,8.13838052055938e-36
"FUN_002485",-8.16099294866578,5.87052595070691,3.61121957970718e-39,8.13838052055938e-36
"FUN_002466",-8.14745217168835,7.50899705418713,7.80300999954643e-21,4.26606162695203e-18
"FUN_002470",-8.0124917446012,6.84471421900116,3.04719311785726e-18,9.25534122997177e-16
"FUN_008473",-7.73695437190669,0.44621735121131,7.57326809833813e-20,3.04445377553193e-17
"FUN_012053",-7.52203977603904,6.98959348162556,8.13247364439145e-16,1.58792356816489e-13
"FUN_005334",-7.10835686880925,4.47095893114298,1.86535730241327e-46,8.49856786979488e-43
"FUN_007421",-6.69820495913942,2.88671633253228,0.000205927436223559,0.00217009730015698
"FUN_008732",-6.60451683480891,1.4804701171037,6.91211816472945e-08,1.96822564740671e-06
"FUN_005514",-6.56028993853615,4.37488441182861,3.23118071791596e-35,4.90708645027504e-32
"FUN_006209",-6.4544094473119,3.25371229915642,8.91208219754764e-27,8.7007385340058e-24
"FUN_010492",-6.28204705658093,1.68314059449856,1.09205237378614e-20,5.52821179441073e-18
"FUN_011854",-6.21345571359126,2.46154633591391,1.68375837715363e-28,1.91780079157799e-25
"FUN_014624",-6.14433037708679,1.11959036716627,1.11302664282176e-17,3.10466288858935e-15
"FUN_013141",-6.10969598116745,1.12611549759984,2.1696505353473e-06,4.0622991119352e-05
