"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-11.3698510309303,2.85712432490541,1.871692947155e-28,3.09409561094194e-25
"FUN_000887",-9.96728486935801,4.63569130652843,6.48888872054085e-54,5.36339097196304e-50
"FUN_012054",-9.48566320531763,7.46253752551539,3.0082877648748e-27,4.52090954919502e-24
"FUN_002467",-9.16804466593098,7.09956034759638,5.33840067632541e-21,4.20233817049216e-18
"FUN_008877",-8.99047555533932,8.05483264749958,5.51726815563457e-55,9.12059598807951e-51
"FUN_002466",-8.39876345986072,7.83977519326231,1.38078961883844e-17,6.91691914818734e-15
"FUN_002470",-8.27406807377171,7.02834072718217,3.74208279914098e-14,9.42953946361262e-12
"FUN_002485",-8.16742669260868,2.02782935666169,3.14765674024577e-34,8.67231892883381e-31
"FUN_010492",-8.0258727095309,2.71038142910168,1.99188083068962e-34,6.58555640242602e-31
"FUN_002492",-7.89621938135069,-0.40857406539967,1.85400942801548e-07,6.42528927767796e-06
"FUN_012690",-7.89160397360089,2.23191385618246,4.243768289496e-42,2.33845778645528e-38
"FUN_013141",-7.8128217280141,1.00203987195439,4.12143514460563e-07,1.30160614085262e-05
"FUN_012053",-7.71499902419364,7.39912464720158,2.63104867353685e-14,7.01513961648993e-12
"FUN_002484",-7.56959633530714,-0.66217869385568,2.0255587377357e-08,9.87743701873418e-07
"FUN_002487",-7.42378953468418,1.30697696991164,4.86618515534155e-14,1.1491843828993e-11
"FUN_005334",-7.41849040236523,4.8146770729254,3.98239118185451e-41,1.64582271568092e-37
"FUN_007421",-7.32749816124018,3.05273257309961,0.000134330141039482,0.00189149196041199
"FUN_006209",-7.29191991510665,3.69221425163776,7.51726628080207e-30,1.38075476542154e-26
"FUN_014624",-7.05750613409649,0.968629456741909,8.3588730392658e-22,7.67669612289461e-19
"FUN_005514",-6.86174026366694,4.44880296387992,1.8711763994513e-26,2.57770142161079e-23
"FUN_008732",-6.83074604375932,1.49282195587159,3.2710770588337e-07,1.06027793842314e-05
"FUN_011854",-6.60975746285967,2.75894884251664,2.98349715102753e-31,6.16502392545451e-28
"FUN_006426",-6.44166453210297,-1.56062120160931,5.92785397362276e-06,0.000130310311220689
"FUN_012623",-6.37736429829492,4.72014476696374,8.15135849098174e-10,5.93612807111978e-08
"FUN_002486",-6.01351028471863,3.61739865720972,1.70695156855673e-08,8.60293182311321e-07
"FUN_014788",-5.98344305909306,5.29864799065993,2.16672648030514e-05,0.000399756199173262
"FUN_004069",-5.98132511866328,5.31498047370825,3.47573744264535e-06,8.27916652224355e-05
"FUN_012622",-5.96808837512379,8.94645918562212,1.62389454574135e-21,1.41287372292896e-18
"FUN_003330",-5.8724039524283,1.20114670140449,4.01042910836152e-16,1.79179469163039e-13
"FUN_002465",-5.8508943941868,5.4046449085787,7.30374633619301e-11,7.2147381263548e-09
"FUN_003235",-5.82884949766062,3.36063770973845,2.13840363246934e-10,1.80356890042606e-08
"FUN_002469",-5.71970553681304,7.42758229224833,5.12987961207384e-12,6.62515936462443e-10
"FUN_000190",-5.56732539628349,8.91515601362367,6.12175097792796e-20,4.59993933709669e-17
"FUN_005722",-5.55586271258165,5.33479226486204,4.91084588448834e-34,1.15973133309253e-30
"FUN_002468",-5.44175793357656,5.22156934356526,9.44026770072088e-15,2.64503500611215e-12
"FUN_002475",-5.41331954481752,6.63011813116824,8.58519203913496e-11,8.34834174111412e-09
"FUN_010552",-5.37867399919897,4.60304421590987,7.69834843593525e-09,4.31483722967677e-07
"FUN_004335",-5.37865618158773,5.96010885988296,1.24730986692182e-12,1.92703545888641e-10
"FUN_000823",-5.33367032423333,7.03968679906075,4.72379153916008e-14,1.13172460773703e-11
"FUN_005461",-5.3252622354656,2.46844294379738,2.95705316379907e-08,1.33560234564925e-06
"FUN_000231",-5.31512591366048,5.73148573518607,5.42996327043729e-08,2.27824169603043e-06
