"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-10.9473701622246,2.60028263330397,8.81064564338355e-06,0.000205718620241205
"FUN_013139",-10.8537093171232,2.51147498344019,4.18673514402355e-25,8.65136483323166e-22
"FUN_010492",-10.4572444001701,2.12322574710488,4.71407068965649e-32,2.59761008569038e-28
"FUN_013846",-10.3409278890652,2.02230633000934,0.00033081917183997,0.00451964605759219
"FUN_002487",-9.89771586352833,1.58941654459015,2.02826162390012e-14,5.15833736995274e-12
"FUN_008732",-9.68523258069292,1.37801453344035,1.98464477605274e-10,1.83285825658815e-08
"FUN_014624",-9.32061242605954,1.04130353907912,9.6220663971537e-20,5.68079927183385e-17
"FUN_002467",-9.31253069433166,6.16165798137963,2.02216286010306e-20,1.59182734477922e-17
"FUN_003027",-9.03951292427548,0.781991242096114,7.06139643146437e-18,3.24255401134827e-15
"FUN_012054",-8.96672899092882,7.17827939834078,2.95575112139825e-20,2.22097826308338e-17
"FUN_011264",-8.92824064939136,0.660753672829188,0.000191992913111361,0.00280622002355783
"FUN_008877",-8.81983827115841,7.56765788282405,2.25870840129055e-49,3.7338708581734e-45
"FUN_013141",-8.76435473511673,0.529841918846408,5.94883778202628e-06,0.000149000359658601
"FUN_003765",-8.66875601101577,0.433038003850812,4.80168300757519e-09,3.20067023379942e-07
"FUN_000887",-8.55853544992351,3.92930238712339,3.27763824415378e-44,2.70913189070531e-40
"FUN_002484",-8.48077273449474,0.280766989029641,7.35448207477199e-08,3.36778235950293e-06
"FUN_002485",-8.47812146196596,5.8690580851961,1.07769548304241e-25,2.64891658970787e-22
"FUN_002466",-8.41510322119999,7.38528920499251,1.05501823768031e-12,1.67697177760511e-10
"FUN_002470",-8.21617780478076,6.93628141780971,4.23913321107685e-14,1.03054575165164e-11
"FUN_002486",-8.20415909644676,5.73442656263472,1.03408399782017e-22,1.31495712061271e-19
"FUN_009752",-8.10793290217907,-0.0603492340827658,4.53415111088769e-15,1.33846521453722e-12
"FUN_013050",-8.05257652226364,-0.111500196286857,3.55771631881801e-16,1.25133209502937e-13
"FUN_015317",-7.73877138709101,-0.389545154514074,0.00110035980243153,0.0127025474120081
"FUN_012053",-7.60707276574751,7.18595433546155,1.05861118307043e-15,3.49998029346745e-13
"FUN_001555",-7.48664899189632,-0.565640528470191,8.45157801892609e-05,0.0013939903380142
