"","logFC","meanExpr","pval","adj.pval"
"FUN_013139",-10.1571629108401,2.66060538063821,1.85604253236255e-22,1.54162892738033e-19
"FUN_008877",-9.01763155524966,7.50461704353872,1.55344649766624e-50,2.58058532192315e-46
"FUN_000887",-8.98677773435292,4.28710643115855,1.84587833193279e-49,1.53318654250337e-45
"FUN_012054",-8.84932191883201,7.06140206898269,3.68549022969492e-36,7.65292046196149e-33
"FUN_002467",-8.70646369166423,6.18330968897668,1.24886443471299e-32,2.07461359894521e-29
"FUN_002487",-8.31212450347731,0.954822345944143,6.47367357356675e-11,5.12098406686147e-09
"FUN_002486",-8.16000460447056,5.87032408036303,3.42198962648865e-40,9.74164640405428e-37
"FUN_002485",-8.1599983756335,5.87032408036303,3.3729903181127e-40,9.74164640405428e-37
"FUN_002466",-8.14720994645373,7.50882898702468,4.17484200797894e-21,3.01532501898026e-18
"FUN_002470",-8.01208229343013,6.84453250707329,1.72553713195431e-18,6.67477230611651e-16
"FUN_008473",-7.7369829365395,0.445240209887688,8.48013769139723e-20,4.14329550969091e-17
"FUN_012053",-7.52185976674109,6.98941322828265,5.11526987716537e-16,1.30730558768417e-13
"FUN_005334",-7.10844416383162,4.47071474732856,7.72502511168198e-46,4.27760390517537e-42
"FUN_002492",-6.96238663470768,-0.192752245720801,6.71276998775316e-06,0.000132594535621451
"FUN_016231",-6.95674271370933,-0.154529430713399,0.000403551958133622,0.00475784608127447
"FUN_016540",-6.84617630159114,-0.323532635812159,0.000522727229966218,0.00598452428959256
"FUN_007421",-6.69825952930601,2.88622140223942,0.000206552135702173,0.0026313221459237
"FUN_008732",-6.60504967554188,1.47992324823518,8.22388281725888e-08,2.78806410939397e-06
"FUN_005514",-6.56045775867606,4.37462173572064,4.19484639807523e-35,7.74275426275841e-32
"FUN_006209",-6.45433495114973,3.25326370562277,1.61989588432723e-26,1.92212217360314e-23
"FUN_010492",-6.28220099224132,1.68248475648215,1.39795534949174e-20,8.60104972805809e-18
"FUN_011854",-6.21361416638871,2.46098172881542,2.39001728800247e-28,3.30858059902476e-25
"FUN_014624",-6.14457012990051,1.1186518766867,3.39474941376962e-18,1.25319060581202e-15
"FUN_013141",-6.10923729583185,1.12519095514462,2.91963850932298e-06,6.45819373060896e-05
"FUN_014788",-6.04437311568016,4.8091634127255,3.64189939785544e-05,0.000571286428679646
"FUN_001176",-6.00692734094987,-0.809798129356399,0.00330880607488031,0.0284355336347189
"FUN_004067",-5.95380109280388,-0.953794543878889,0.000365214930795904,0.00437415315816983
"FUN_012623",-5.92520402902755,4.22369255369442,5.58500290568672e-20,2.81145661422024e-17
