"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-10.9473707194228,2.60023688270741,8.79337100050408e-06,0.000206905777705912
"FUN_013139",-10.8537066998875,2.51141588025591,4.95259975514431e-25,1.02840733915572e-21
"FUN_010492",-10.4572449381364,2.12317103345905,4.58362564509521e-32,2.53810630721072e-28
"FUN_013846",-10.3409262101552,2.02220471381932,0.000331409276538127,0.00455125633969206
"FUN_002487",-9.89771576596797,1.58932328030874,2.09894287575327e-14,5.36425216184821e-12
"FUN_008732",-9.68523360101208,1.37794624527327,2.01493979085046e-10,1.88045953964089e-08
"FUN_014624",-9.32061364875506,1.04119392012283,9.80753112552689e-20,5.8186681091876e-17
"FUN_002467",-9.31251182600785,6.16164806985666,1.97421462125785e-20,1.56169777563502e-17
"FUN_003027",-9.03951036514132,0.781857478493004,7.37205652214526e-18,3.40179452627436e-15
"FUN_012054",-8.96672727873986,7.17827137022757,2.9257711498697e-20,2.20922319734706e-17
"FUN_011264",-8.92824124227518,0.66067831527875,0.00019341397099646,0.00284335653645416
"FUN_008877",-8.81981251405221,7.56765043771955,1.73655387883715e-49,2.88476330352427e-45
"FUN_013141",-8.76435381278933,0.529698044111889,6.01205720959249e-06,0.000151092729751514
"FUN_003765",-8.668759457578,0.43292274835278,5.0003973819327e-09,3.33600808468538e-07
"FUN_000887",-8.55855035118299,3.92927970544177,3.57888780334052e-44,2.97262420945464e-40
"FUN_002484",-8.48076735192085,0.280586943940231,7.65436352685044e-08,3.52227941573517e-06
"FUN_002485",-8.47810599077208,5.86904707213253,1.0496030522439e-25,2.90600098397928e-22
"FUN_002466",-8.41510673715387,7.38528155289125,1.05182535808465e-12,1.69640027655362e-10
"FUN_002470",-8.21618565706241,6.93627289752736,4.26502701742284e-14,1.02682070744099e-11
"FUN_002486",-8.20413649338734,5.73441506560087,9.99325890938923e-23,1.27698474617518e-19
"FUN_009752",-8.10791849165398,-0.060515838340554,5.36059703076469e-15,1.56228487500111e-12
"FUN_013050",-8.05258781678168,-0.1116528819388,4.12464177642645e-16,1.42746977479159e-13
"FUN_015317",-7.73877557368268,-0.389689988325534,0.00111450547318885,0.0129108541984751
"FUN_012053",-7.607076048559,7.18594623707478,1.05149096161176e-15,3.49347357085891e-13
"FUN_001555",-7.48663552556986,-0.565892343970006,8.69506961417627e-05,0.00143867028317427
"FUN_002117",-7.27665622456691,-0.768481976445502,3.33054186331445e-11,3.84215009954025e-09
"FUN_016323",-7.24818900489755,-0.786296835853765,4.02575639045966e-09,2.7520932163916e-07
"FUN_000380",-7.06591616041439,-0.944200362991625,1.38058738525182e-06,4.3354097625337e-05
"FUN_013406",-7.0650428661517,-0.93347316790846,6.73225488906524e-10,5.70592950087509e-08
"FUN_005334",-7.04497890498981,4.31344140145882,1.52257833071471e-27,6.3232678074582e-24
"FUN_002492",-7.03542400897917,-0.967482265925573,6.0051537865133e-05,0.00104567730295135
"FUN_009949",-7.02902231213072,-0.942225552992341,0.00276567158268665,0.027527463350264
"FUN_008727",-6.99155395537261,-1.00483740546971,2.89786094547783e-06,8.11792007188495e-05
"FUN_005418",-6.97693227733505,-1.00541698075335,2.71670367049183e-06,7.6621190788133e-05
"FUN_008733",-6.89868693509866,-1.08330775342633,2.17606860432632e-06,6.34190379913489e-05
"FUN_011854",-6.86614747204677,1.74771575075724,1.9930730621113e-23,3.00990270070844e-20
"FUN_006605",-6.84124044466351,-1.13627543619201,0.00347966021854594,0.0328993258682328
"FUN_006209",-6.81979194509006,3.65283052822184,5.11416636842927e-26,1.69913063424694e-22
"FUN_000430",-6.73788812715205,-1.19232478027272,0.000326355636844777,0.00449910360105016
"FUN_015274",-6.69949641272017,-1.20750404683763,0.000344948743733368,0.0047021414078753
"FUN_005514",-6.67299520932524,4.03405296894289,7.5079637393484e-19,3.77946344357744e-16
"FUN_011253",-6.66012474805679,-1.25944824586765,5.49214059913694e-06,0.000140578489418895
"FUN_015692",-6.54239750328499,-1.3359468874013,2.13300796226346e-05,0.000439077178056017
"FUN_003059",-6.5406045332466,-1.3342573785998,0.000754109805951683,0.00919770344821539
"FUN_008984",-6.53578280209536,-1.29943721803514,0.00477393304248254,0.0426139579267706
"FUN_000604",-6.52579759389988,-1.34894672857791,6.69410096595787e-06,0.000165326113066746
"FUN_002464",-6.45284716257886,-1.40609526832018,1.84484327279834e-07,7.47476498725023e-06
"FUN_007244",-6.42400517120381,-1.42304261003019,3.69918097000885e-08,1.89662945289466e-06
"FUN_000471",-6.41232253328428,-1.42021335235743,0.000555905494811474,0.00706016978578609
"FUN_012623",-6.27748869000215,3.42219632553542,5.33068764003271e-13,9.2243107371066e-11
"FUN_013745",-6.2439036970323,-1.55410084121353,1.66034992589998e-05,0.000351359655656695
"FUN_006426",-6.21799720417445,-1.56096634495566,0.000151089918152566,0.00230131160664933
"FUN_004067",-6.15376084471814,-1.62426188895636,2.55150592300053e-05,0.00050918493934042
"FUN_007107",-6.12306317887896,-1.63955411494634,7.73012891922173e-05,0.00129403523585644
"FUN_011765",-6.11511406001522,-1.64462871784959,5.1452014025964e-05,0.00091121626545769
"FUN_003330",-6.07222100009828,0.987858236255051,1.94517359179556e-13,3.7573515938265e-11
