"","logFC","meanExpr","pval","adj.pval"
"FUN_007421",-11.3676583467433,2.9389727823259,6.30489677617786e-06,0.000149426821763964
"FUN_013139",-11.1263182168102,2.70456557085846,1.63939810259857e-26,4.53894688006124e-23
"FUN_008732",-9.81014432104003,1.42571583647717,2.60946885374944e-10,2.35589655426553e-08
"FUN_002487",-9.75664811702968,1.38277063636303,2.58606236333819e-14,7.15994466329568e-12
"FUN_012054",-9.31244875512825,7.26355249104388,1.23361973939381e-16,6.12341468169466e-14
"FUN_014624",-9.29766784175685,0.947310392290484,2.71146104077495e-20,2.64957592996197e-17
"FUN_013141",-9.29048869836546,0.942926937544203,9.79674249956203e-07,2.88041568854379e-05
"FUN_000887",-9.25468235812591,4.52872651235096,1.03540042795547e-44,8.60003595459813e-41
"FUN_002467",-9.14221483292377,7.0295208698417,6.4410039085239e-18,3.96288729364441e-15
"FUN_008877",-8.97671455987284,7.78003360084708,4.27620260926644e-54,7.10362777451341e-50
"FUN_016508",-8.83517549982079,0.511139537089433,3.49976318654991e-09,2.3537678564764e-07
"FUN_002484",-8.54092262963148,0.261920450167089,3.67654655561013e-08,1.79886881239471e-06
"FUN_015587",-8.45910976013514,0.182932027894463,6.53641243617771e-09,4.08206328533023e-07
"FUN_002466",-8.38713929214545,7.62403482530887,9.21249754295705e-12,1.20502369435907e-09
"FUN_002485",-8.30370024562305,5.91313836253208,6.06508313807747e-28,2.01506322179486e-24
"FUN_015317",-8.24224929960913,-0.0118042213394447,1.47497363345063e-05,0.000302124069036767
"FUN_002470",-8.22708103600153,6.8200601912675,2.21624142473839e-11,2.57455961872406e-09
"FUN_007424",-8.03382626736675,-0.193219843602655,0.000609238439910209,0.00735513732833459
"FUN_002492",-7.77911340794662,-0.422119577431516,6.47833980576031e-07,2.04597302002453e-05
"FUN_012053",-7.69583253692667,7.25152215717009,5.58768789293151e-15,1.68768493231597e-12
"FUN_010492",-7.60092704597842,2.38534059879937,3.2812334123553e-29,1.36269623615115e-25
"FUN_002486",-7.53362587608437,6.0007498864043,1.81038348973007e-15,6.13756949620326e-13
"FUN_014726",-7.45156520668185,-0.692009740555959,9.05835437301767e-14,2.11939975837422e-11
"FUN_005334",-7.44710236048783,4.72459195347281,4.96878712701824e-31,2.75138305846757e-27
"FUN_000430",-7.44384691000077,-0.689326755514061,2.6700437816115e-07,9.49780884371097e-06
"FUN_003057",-7.29571056029688,-0.830901247512112,4.04897746829583e-08,1.95527946812007e-06
"FUN_008733",-7.21677121469252,-0.899094178452665,2.38370699894056e-07,8.62704589681928e-06
"FUN_014705",-7.21549447608467,-0.859041765764962,0.000117938515661707,0.00177142370901653
"FUN_011765",-7.14924227193346,-0.945068467623564,3.89044632550663e-08,1.88715713766698e-06
"FUN_007250",-6.9537342269708,-1.10814351823972,0.00280903058390325,0.0266649234627433
"FUN_015180",-6.9097851425979,-1.12930874362868,2.60658482872299e-10,2.35589655426553e-08
"FUN_011854",-6.87327890246639,2.70389003430243,5.17685264055932e-25,9.5553195627746e-22
"FUN_005514",-6.76749924699254,4.41139043597037,3.58101471083949e-26,8.49825948235223e-23
"FUN_006209",-6.70653930624848,3.48420351187113,2.61212733280077e-25,5.4240824065608e-22
"FUN_002154",-6.68366875808374,-1.28786535034405,0.000299085629395135,0.00399069114498955
"FUN_011506",-6.655865574493,-1.30040038399376,7.39962854943998e-06,0.000170953710942182
"FUN_015692",-6.51750116623791,-1.42447190763806,1.66768488820097e-05,0.000333376430358538
"FUN_002966",-6.4775895608424,-1.46562723054093,6.71834150781677e-06,0.000157190266377257
"FUN_009107",-6.44295086964367,-1.46736344459127,0.00495383298254921,0.0422306789720181
"FUN_012623",-6.42465316059651,4.56489284393286,5.48421870974948e-10,4.54115408387053e-08
"FUN_007107",-6.41194923422905,-1.505990566468,3.33705788622373e-05,0.000605187834126076
"FUN_009861",-6.41141563990894,-1.49246859395759,0.000481736285408179,0.00604426221540837
"FUN_005452",-6.40748606763222,-1.48076865799311,0.00504991329342802,0.0428005916481767
"FUN_004067",-6.37796410494008,-1.53735169997034,5.56543847792486e-05,0.000930111307799675
"FUN_006455",-6.35749283944078,-1.56937011658392,0.000536064068026362,0.00658174153588612
"FUN_008384",-6.33074584647098,-1.56120135045557,2.56844221668286e-07,9.23436445660249e-06
"FUN_009657",-6.2971469184411,-1.59627663586011,7.23529135431755e-07,2.24659177528828e-05
"FUN_000651",-6.27041053667287,-1.59989307443011,0.000608113443420678,0.00734689492516677
"FUN_004071",-6.22556580974452,-1.64462862716878,5.21812711890262e-05,0.000889061822556003
"FUN_011325",-6.17259675335276,-1.66011037428302,1.82034219990603e-05,0.000359566285669905
"FUN_006426",-6.16443283725268,-1.66875226738917,0.000149112071628936,0.00218242267303955
"FUN_011837",-6.14410865742521,-1.70330385087413,0.000781083482285913,0.00917634993474794
"FUN_008456",-6.11311272786997,-1.71651957370906,0.00110703023311351,0.0123339947903968
"FUN_004069",-6.01201646809198,5.62751530287524,1.53996685344554e-05,0.00031348475943374
"FUN_003235",-5.93721369165684,3.25642266739401,1.06153692141071e-08,6.23118421854228e-07
"FUN_012622",-5.89560129088813,8.86715859715418,4.59844667306007e-21,5.87610739483646e-18
"FUN_013602",-5.83639540897783,-1.89368579693433,3.68452808151762e-06,9.4153533653233e-05
"FUN_004474",-5.8105959180147,1.63481999675834,0.00010932936908326,0.0016631680212556
"FUN_014788",-5.80941459268032,5.18908499685355,2.02495094428833e-05,0.000395281845905026
"FUN_002465",-5.80157353671917,5.32890853099422,1.1793718682888e-08,6.80268245694917e-07
"FUN_010252",-5.72352708690844,-1.96233475799784,0.00134822665385663,0.0145433384245885
"FUN_015994",-5.71780266427524,-1.97849744107706,8.2638090265092e-06,0.000185260992642876
"FUN_000274",-5.67790640170317,-2.00590320716255,0.00175249117718675,0.018026243613267
"FUN_001686",-5.67174927457779,-1.99173107417419,6.99391699091258e-05,0.00112798979663145
"FUN_002469",-5.66208261986521,7.39264738522301,2.45007069746875e-12,3.53918038490008e-10
"FUN_003027",-5.6486106446314,1.3059186774307,2.19124198192743e-11,2.56344449322384e-09
"FUN_005722",-5.63769088389853,5.14948698016454,8.90545045668267e-18,5.28347653522902e-15
"FUN_003330",-5.63559674916195,1.0655636407594,2.55068721562494e-13,5.3635463324002e-11
"FUN_003354",-5.60250660320893,-2.05760432542387,4.21547182116641e-05,0.000737907459359498
"FUN_005545",-5.54479106500435,-2.07387618134033,0.00190837245676551,0.0193776792492595
"FUN_000190",-5.54277911945012,8.83218237558828,1.40100318388337e-20,1.65380008611681e-17
"FUN_013412",-5.53140392297322,-2.08787094266835,0.000222757030046415,0.00309660232897996
"FUN_007119",-5.45467782455204,-2.12715812756671,0.000175575235916383,0.00251219278126008
