gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_000001,53,64,54,42,76,77,66,51,65,91
FUN_000002,45,63,47,50,19,22,43,7,0,6
FUN_000004,241,273,287,341,318,258,307,221,231,356
FUN_000005,1021,1409,1010,1166,2079,1994,2024,2187,2023,2599
FUN_000006,154,215,181,189,385,322,294,386,351,437
FUN_000007,2013,2923,1801,2101,2373,1753,2753,2046,2299,2887
FUN_000008,116,353,224,249,195,166,120,235,246,222
FUN_000009,42,63,71,63,118,107,71,132,128,127
FUN_000011,639,837,363,622,1067,974,840,1167,916,1237
FUN_000012,666,758,752,837,1702,1384,1016,1683,1313,1829
FUN_000013,216,228,190,84,336,260,154,222,330,307
FUN_000014,37,40,21,32,43,42,40,35,46,57
FUN_000015,58,97,140,138,84,105,116,79,110,101
FUN_000016,86,145,142,166,262,135,113,153,130,229
FUN_000017,0,15,0,10,14,10,6,0,9,10
FUN_000018,42,63,24,27,89,90,33,65,94,101
FUN_000019,245,251,261,262,311,282,234,339,271,358
FUN_000020,220,264,195,166,326,250,216,290,228,376
FUN_000021,48,92,97,104,108,127,94,137,112,133
FUN_000022,2525,5425,3461,3561,4338,3433,3171,3698,4580,4799
FUN_000023,35,74,70,42,41,41,41,33,36,75
FUN_000024,13,12,0,0,6,4,0,6,7,13
FUN_000025,332,409,542,430,732,565,397,641,582,780
FUN_000026,166,231,188,180,359,315,245,399,300,429
FUN_000028,72,92,115,80,149,103,94,175,145,209
FUN_000029,0,8,13,15,23,19,7,13,18,17
FUN_000030,147,217,178,184,325,297,194,311,280,398
FUN_000031,207,203,185,207,370,345,283,357,259,394
FUN_000032,144,239,264,251,635,538,356,601,604,590
FUN_000033,52,89,70,68,113,119,85,105,83,128
FUN_000034,3576,4401,2129,2855,3969,3130,3925,4399,3720,5122
FUN_000035,99,168,77,125,303,313,162,317,251,432
FUN_000036,650,1165,1013,1015,1713,1450,1126,1595,1525,2018
FUN_000037,499,594,630,584,719,589,611,741,645,781
FUN_000038,1107,1755,1709,1317,1089,856,1392,954,848,1176
FUN_000039,1231,1969,1263,1327,3166,2548,1618,3221,2433,3977
FUN_000040,352,436,133,292,720,630,440,789,547,897
FUN_000041,467,757,463,355,829,769,569,963,884,1205
FUN_000042,12,24,0,0,96,16,7,18,18,46
FUN_000043,15,19,11,14,31,0,0,0,0,31
FUN_000044,27,35,0,64,56,66,35,95,49,73
FUN_000046,316,547,454,409,935,946,540,879,978,1202
FUN_000047,2128,2796,2370,2435,4107,3319,2855,3630,3184,4409
FUN_000048,7,32,35,12,50,64,34,86,81,115
FUN_000050,131,166,159,136,244,175,179,237,139,272
FUN_000051,446,674,649,712,1457,1202,886,1345,1194,1411
FUN_000052,3,0,2,1,8,9,0,17,0,11
FUN_000053,10,0,0,0,9,21,7,0,3,12
FUN_000054,5,6,0,3,0,16,0,5,8,15
FUN_000055,6,11,0,4,9,4,4,6,12,21
FUN_000056,17,32,12,6,36,28,27,18,25,54
FUN_000058,192,265,157,513,210,185,318,47,54,241
FUN_000059,732,938,521,613,1358,1139,1036,1382,1160,1542
FUN_000060,287,339,202,103,364,401,312,404,264,358
FUN_000061,530,778,474,366,925,912,704,909,832,991
FUN_000062,4520,4805,3237,3312,5626,4678,7672,5666,6031,7024
FUN_000063,77,255,179,134,252,175,178,210,175,176
FUN_000064,29,35,60,45,46,31,26,41,30,54
FUN_000065,19,24,28,29,69,36,23,52,31,60
FUN_000066,292,341,113,213,684,446,270,702,553,717
FUN_000067,165,227,260,206,330,289,214,324,235,430
FUN_000068,1814,2755,3332,2961,4506,3845,2716,4210,3196,4482
FUN_000069,250,416,334,431,708,609,524,645,574,841
FUN_000070,309,432,172,302,615,571,512,620,546,836
FUN_000071,49,104,46,34,113,84,33,54,77,178
FUN_000072,50,36,45,33,94,63,40,71,85,82
FUN_000073,850,1542,1843,1732,2356,2074,1440,2015,1675,2266
FUN_000074,19,31,12,217,12,69,24,9,7,27
FUN_000075,305,441,215,313,679,571,446,614,668,822
FUN_000076,290,404,623,463,545,456,397,605,483,641
FUN_000077,25,46,20,45,67,25,39,63,44,53
FUN_000078,301,251,150,343,307,221,275,196,164,294
FUN_000079,203,260,249,223,483,354,270,493,423,556
FUN_000080,35,40,28,33,40,13,28,48,32,41
FUN_000081,24,34,80,53,87,129,51,104,92,94
