gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_000001,28,40,30,24,40,38,32,27,36,48
FUN_000002,24,35,29,24,9,12,22,4,0,4
FUN_000003,2,3,4,0,0,1,1,2,0,4
FUN_000004,127,153,158,193,168,134,170,121,126,199
FUN_000005,495,730,487,606,980,884,945,1026,980,1322
FUN_000006,71,116,87,97,178,133,128,192,170,230
FUN_000007,1215,1786,1108,1265,1335,944,1545,1192,1360,1775
FUN_000008,54,208,129,132,100,83,67,123,110,134
FUN_000009,23,34,37,37,69,55,34,56,73,56
FUN_000010,0,0,1,0,0,0,0,0,0,0
FUN_000011,320,421,159,324,517,430,366,555,438,633
FUN_000012,386,475,433,501,984,730,561,939,750,1137
FUN_000013,120,126,107,53,176,133,78,130,171,179
FUN_000014,24,28,13,18,23,27,28,22,26,28
FUN_000015,29,45,70,73,36,49,51,57,53,54
FUN_000016,50,83,85,101,135,70,65,84,77,140
FUN_000017,0,7,1,9,8,2,3,3,2,8
FUN_000018,26,37,13,16,49,46,19,36,53,57
FUN_000019,58,55,47,38,51,43,40,71,46,74
FUN_000020,116,145,116,84,175,130,107,149,125,210
FUN_000021,20,27,32,44,45,47,40,52,48,51
FUN_000022,851,1785,1073,1147,1312,1052,990,1173,1466,1582
FUN_000023,16,33,38,22,16,16,13,15,18,32
FUN_000024,3,1,0,1,1,1,1,2,2,3
FUN_000025,172,225,287,240,380,280,206,330,297,408
FUN_000026,88,135,109,111,192,170,131,219,161,244
FUN_000027,0,1,0,1,0,0,2,0,2,3
FUN_000028,20,17,19,17,57,28,34,49,45,66
FUN_000029,2,1,4,4,6,8,3,4,8,7
FUN_000030,83,124,99,99,177,154,110,168,154,225
FUN_000031,112,128,106,130,211,172,155,203,149,242
FUN_000032,80,136,137,143,336,250,176,305,319,308
FUN_000033,8,27,24,30,43,36,34,26,20,41
FUN_000034,1941,2498,1149,1576,2080,1574,2036,2337,1954,2853
FUN_000035,47,94,41,63,155,136,80,148,131,248
FUN_000036,366,680,598,574,962,756,614,884,831,1174
FUN_000037,254,308,331,296,345,268,299,387,332,412
FUN_000038,622,1019,1026,769,577,442,731,522,458,696
FUN_000039,557,850,552,594,1292,1019,647,1325,1020,1708
FUN_000040,120,157,53,118,270,200,145,258,191,316
FUN_000041,244,412,271,190,407,367,268,492,431,669
FUN_000042,6,16,0,3,50,6,2,10,9,22
FUN_000043,0,1,2,0,2,3,3,4,0,1
FUN_000044,4,5,10,16,14,11,6,19,8,14
FUN_000045,0,0,0,0,0,0,0,0,0,0
FUN_000046,141,283,217,203,438,393,241,423,469,609
FUN_000047,1207,1667,1404,1387,2297,1732,1537,2031,1779,2603
FUN_000048,8,24,23,14,37,54,25,66,69,98
FUN_000049,0,0,0,0,0,2,11,9,0,4
FUN_000050,65,91,85,61,118,75,81,117,63,145
FUN_000051,261,405,374,412,795,644,486,763,678,852
FUN_000052,1,2,1,1,4,2,2,11,2,5
FUN_000053,2,3,3,0,2,6,4,1,1,6
FUN_000054,2,4,0,1,4,6,1,3,4,9
FUN_000055,2,3,0,0,1,0,1,1,2,1
FUN_000056,8,20,5,4,21,12,13,8,12,29
FUN_000057,0,1,0,0,0,0,0,0,0,0
FUN_000058,112,160,86,308,120,90,171,27,32,149
FUN_000059,451,558,301,358,781,598,550,752,669,882
FUN_000060,151,182,118,62,195,194,154,212,148,192
FUN_000061,284,450,257,193,484,455,353,466,427,521
FUN_000062,2510,2680,1779,1820,2977,2310,4048,3068,3308,3940
FUN_000063,39,97,78,77,92,64,84,86,80,77
FUN_000064,14,11,32,14,23,14,14,21,14,23
